year,team,opp,date_game,player,decision,goals_against,shots_against,saves,save_pct,shutouts,pen_min,time_on_ice
1997,CAR,OTT,1997-11-09,Trevor Kidd,W,1,14,13,.929,0,0,40:00
1997,CAR,OTT,1997-11-09,Sean Burke,,0,12,12,1.000,0,0,20:00
1997,CAR,NYI,1997-11-07,Trevor Kidd,L,3,24,21,.875,0,0,59:04
1997,CAR,DET,1997-11-05,Trevor Kidd,W,1,20,19,.950,0,0,60:00
1998,CAR,DAL,1998-10-15,Arturs Irbe,T,2,38,36,.947,0,0,65:00
1998,CAR,TBL,1998-10-10,Trevor Kidd,T,4,25,21,.840,0,0,64:50
1998,CAR,NSH,1998-10-13,Arturs Irbe,,0,22,22,1.000,0,0,46:20
1999,CAR,PHI,1999-10-07,Arturs Irbe,W,0,30,30,1.000,1,0,59:57
2002,CAR,NYR,2002-10-09,Arturs Irbe,L,4,28,24,.857,0,0,59:36
1997,CAR,TBL,1997-10-01,Trevor Kidd,L,3,26,23,.885,0,0,58:43
1998,CAR,NSH,1998-10-13,Trevor Kidd,L,3,8,5,.625,0,0,12:18
2002,CAR,WSH,2002-10-17,Kevin Weekes,L,2,27,25,.926,0,0,58:43
2002,CAR,STL,2002-10-15,Kevin Weekes,L,2,29,27,.931,0,0,63:49
1999,CAR,NYR,1999-10-08,Arturs Irbe,L,3,37,34,.919,0,0,59:10
2001,CAR,DAL,2001-10-07,Arturs Irbe,W,0,32,32,1.000,1,0,59:59
1997,CAR,TBL,1997-10-01,Empty Net,,1,1,0,.000,0,0,
1998,CAR,LAK,1998-10-25,Trevor Kidd,L,3,25,22,.880,0,0,59:27
1998,CAR,COL,1998-11-02,Arturs Irbe,L,3,23,20,.870,0,0,59:06
1998,CAR,BOS,1998-10-31,Arturs Irbe,W,0,34,34,1.000,1,0,60:00
1999,CAR,CGY,1999-10-11,Arturs Irbe,T,3,29,26,.897,0,0,64:59
2002,CAR,PHI,2002-11-05,Kevin Weekes,L,2,31,29,.935,0,0,61:42
1997,CAR,VAN,1997-11-03,Trevor Kidd,W,3,24,21,.875,0,0,60:00
1998,CAR,OTT,1998-10-24,Arturs Irbe,W,1,28,27,.964,0,0,60:00
1998,CAR,NYR,1998-10-30,Arturs Irbe,L,1,24,23,.958,0,0,58:52
1998,CAR,WSH,1998-11-06,Arturs Irbe,W,2,34,32,.941,0,0,59:56
1998,CAR,VAN,1998-10-20,Arturs Irbe,W,1,17,16,.941,0,0,60:00
1997,OTT,CAR,1997-11-09,Ron Tugnutt,L,3,21,18,.857,0,0,58:45
1997,OTT,CAR,1997-11-09,Empty Net,,1,1,0,.000,0,0,
1997,NYI,CAR,1997-11-07,Tommy Salo,W,2,29,27,.931,0,0,60:00
1997,DET,CAR,1997-11-05,Chris Osgood,L,3,29,26,.897,0,0,58:48
1998,DAL,CAR,1998-10-15,Ed Belfour,T,2,22,20,.909,0,0,65:00
1998,TBL,CAR,1998-10-10,Daren Puppa,T,4,34,30,.882,0,0,65:00
2002,CAR,TBL,2002-10-12,Kevin Weekes,,2,16,14,.875,0,0,40:00
2002,CAR,TBL,2002-10-12,Arturs Irbe,L,3,8,5,.625,0,0,20:00
1998,NSH,CAR,1998-10-13,Mike Dunham,W,2,36,34,.944,0,0,59:58
2002,NYR,CAR,2002-10-09,Mike Richter,W,1,21,20,.952,0,0,60:00
1997,TBL,CAR,1997-10-01,Daren Puppa,W,2,29,27,.931,0,0,59:59
2002,WSH,CAR,2002-10-17,Olaf Kolzig,W,1,38,37,.974,0,0,60:00
2002,STL,CAR,2002-10-15,Reinhard Divis,W,1,24,23,.958,0,0,63:25
