year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
2007,ANA,2006-10-06,H,Los Angeles Kings,4,3,W,,32,21,1,,0,44,17,1,,0,,,,,,,,,,,
2007,ANA,2006-10-07,A,Phoenix Coyotes,2,1,W,,25,24,2,,0,35,22,1,,0,,,,,,,,,,,
2007,ANA,2006-10-09,H,St. Louis Blues,2,0,W,,34,10,2,,0,34,14,,,,,,,,,,,,,,
2008,ANA,2007-09-29,A,Los Angeles Kings,1,4,L,,27,18,1,,0,21,18,3,,1,,,,,,,,,,,
2007,ANA,2006-10-11,H,New York Islanders,4,5,L,SO,50,6,2,,0,24,12,1,,0,,,,,,,,,,,
2007,ANA,2006-10-15,H,Dallas Stars,3,4,L,SO,39,27,0,,1,35,15,2,,0,,,,,,,,,,,
2008,ANA,2007-09-30,H,Los Angeles Kings,4,1,W,,25,15,2,,0,23,15,0,,0,,,,,,,,,,,
2008,ANA,2007-10-03,A,Detroit Red Wings,2,3,L,SO,15,23,1,,0,42,19,2,,0,,,,,,,,,,,
2007,ANA,2006-10-18,H,Detroit Red Wings,4,1,W,,31,28,3,,0,22,32,0,,0,,,,,,,,,,,
2007,ANA,2006-10-20,H,Minnesota Wild,2,1,W,,29,10,0,,0,28,8,0,,0,,,,,,,,,,,
2010,ANA,2009-10-03,H,San Jose Sharks,1,4,L,,25,34,1,,0,37,46,1,,1,29,43,40.3,23,37,38.3,14,13,51.9,47.7,93.1
2008,ANA,2007-10-05,A,Columbus Blue Jackets,0,4,L,,28,26,0,,0,37,31,3,,0,,,,,,,,,,,
2008,ANA,2007-10-06,A,Pittsburgh Penguins,4,5,L,,23,10,1,,1,29,10,1,,0,,,,,,,,,,,
2009,ANA,2008-10-09,A,San Jose Sharks,1,4,L,,29,14,0,,0,41,4,2,,0,32,39,45.1,23,30,43.4,19,21,47.5,70.8,96.0
2007,ANA,2006-10-22,A,Los Angeles Kings,3,2,W,SO,21,11,0,,0,31,9,0,,0,,,,,,,,,,,
2007,ANA,2006-10-25,H,Edmonton Oilers,6,2,W,,20,13,0,,0,31,9,1,,0,,,,,,,,,,,
2010,ANA,2009-10-06,A,Minnesota Wild,3,4,L,OT,19,19,1,,0,32,13,3,,0,29,47,38.2,23,33,41.1,18,33,35.3,37.5,107.5
2010,ANA,2009-10-08,A,Boston Bruins,6,1,W,,30,12,2,,1,34,4,0,,0,38,49,43.7,30,39,43.5,26,14,65.0,40.0,110.3
2008,ANA,2007-10-10,H,Boston Bruins,2,1,W,,30,6,0,,0,19,6,0,,0,,,,,,,,,,,
2008,ANA,2007-10-14,H,Minnesota Wild,0,2,L,,37,23,0,,0,25,33,0,,0,,,,,,,,,,,
2009,ANA,2008-10-12,H,Phoenix Coyotes,2,4,L,,35,48,0,,0,24,34,1,,0,43,27,61.4,37,22,62.7,25,21,54.3,58.7,89.8
2009,ANA,2008-10-14,A,Los Angeles Kings,3,6,L,,26,32,0,,0,23,24,3,,0,35,28,55.6,26,22,54.2,17,18,48.6,70.3,96.2
2011,ANA,2010-10-08,A,Detroit Red Wings,0,4,L,,21,44,0,,0,43,26,0,,0,40,50,44.4,33,35,48.5,15,25,37.5,48.1,85.2
2007,ANA,2006-10-27,A,Minnesota Wild,2,3,L,SO,34,50,0,,0,33,22,0,,0,,,,,,,,,,,
2007,ANA,2006-10-28,A,Chicago Blackhawks,3,0,W,,22,18,1,,0,14,26,,,,,,,,,,,,,,
2010,ANA,2009-10-10,A,Philadelphia Flyers,3,2,W,SO,33,16,0,,0,35,10,2,,0,46,48,48.9,33,34,49.3,21,17,55.3,53.5,107.7
2010,ANA,2009-10-11,A,New York Rangers,0,3,L,,18,10,0,,0,38,8,2,,1,34,56,37.8,23,45,33.8,20,20,50.0,37.9,100.0
2008,ANA,2007-10-15,H,Detroit Red Wings,6,3,W,,29,22,2,,2,35,26,1,,0,,,,,,,,,,,
2008,ANA,2007-10-17,H,Nashville Predators,3,1,W,,31,9,0,,0,29,9,0,,0,,,,,,,,,,,
2008,ANA,2007-10-20,A,Dallas Stars,1,3,L,,21,23,1,,0,23,45,1,,0,,,,,,,,,,,
2013,ANA,2013-01-19,A,Vancouver Canucks,7,3,W,,26,8,3,,0,29,6,2,,0,36,49,42.4,30,35,46.2,31,31,50.0,33.0,112.9
2012,ANA,2011-10-07,A,Buffalo Sabres,1,4,L,,30,12,0,,0,25,14,2,,0,50,29,63.3,37,22,62.7,21,26,44.7,63.9,91.8
2014,ANA,2013-10-02,A,Colorado Avalanche,1,6,L,,36,24,0,,0,29,18,2,,0,53,42,55.8,42,34,55.3,33,20,62.3,54.6,85.6
2009,ANA,2008-10-15,H,Edmonton Oilers,2,3,L,,35,8,0,,0,28,4,1,,0,56,38,59.6,44,35,55.7,26,18,59.1,54.2,97.6
2011,ANA,2010-10-09,A,Nashville Predators,1,4,L,,37,19,0,,0,49,13,1,,0,41,50,45.1,32,42,43.2,22,22,50.0,49.4,94.8
2011,ANA,2010-10-11,A,St. Louis Blues,1,5,L,,14,78,1,,0,53,65,1,,1,17,42,28.8,13,35,27.1,12,14,46.2,25.8,90.0
2007,ANA,2006-10-30,A,St. Louis Blues,6,5,W,SO,33,33,2,,0,24,21,2,,0,,,,,,,,,,,
2007,ANA,2006-11-01,H,New York Rangers,3,4,L,OT,33,31,0,,0,34,15,2,,0,,,,,,,,,,,
2015,ANA,2014-10-09,A,Pittsburgh Penguins,4,6,L,,29,13,3,,0,39,15,1,,1,34,47,42.0,26,38,40.6,32,25,56.1,34.4,92.9
2010,ANA,2009-10-14,H,Minnesota Wild,3,2,W,,35,13,0,,0,34,13,0,,0,40,54,42.6,32,47,40.5,18,17,51.4,47.6,107.2
2008,ANA,2007-10-23,A,St. Louis Blues,2,4,L,,16,29,0,,0,33,29,2,,0,,,,,,,,,,,
2008,ANA,2007-10-25,H,Phoenix Coyotes,0,1,L,,31,10,0,,0,21,12,0,,0,,,,,,,,,,,
2013,ANA,2013-01-21,A,Calgary Flames,5,4,W,,24,6,0,,0,25,4,2,,0,42,50,45.7,32,36,47.1,33,24,57.9,57.1,110.8
2013,ANA,2013-01-25,H,Vancouver Canucks,0,5,L,,30,31,0,,0,34,16,3,,0,40,36,52.6,33,31,51.6,22,25,46.8,43.9,90.0
2012,ANA,2011-10-08,H,New York Rangers,2,1,W,SO,28,19,0,,0,15,21,0,,0,42,30,58.3,29,20,59.2,14,23,37.8,54.5,96.2
2012,ANA,2011-10-14,H,San Jose Sharks,1,0,W,,23,10,0,,0,31,6,,,,40,49,44.9,30,35,46.2,13,21,38.2,53.8,105.6
2014,ANA,2013-10-05,A,Minnesota Wild,4,3,W,OT,30,13,1,,0,33,11,2,,0,32,54,37.2,28,38,42.4,17,40,29.8,50.0,109.3
2009,ANA,2008-10-17,H,San Jose Sharks,4,0,W,,20,31,1,,0,38,29,,,,28,34,45.2,22,31,41.5,15,18,45.5,45.7,127.3
2009,ANA,2008-10-19,H,Carolina Hurricanes,1,3,L,,33,13,0,,0,24,13,0,,0,55,28,66.3,47,24,66.2,21,19,52.5,53.8,86.9
2016,ANA,2015-10-10,A,San Jose Sharks,0,2,L,,27,2,0,1,0,44,2,0,1,0,54,69,43.9,37,51,42.0,32,23,58.2,47.4,95.1
2011,ANA,2010-10-13,H,Vancouver Canucks,4,3,W,,32,11,2,,0,39,25,2,,0,47,59,44.3,37,50,42.5,22,37,37.3,38.0,104.7
2011,ANA,2010-10-15,H,Atlanta Thrashers,4,5,L,SO,41,13,3,,0,33,19,3,,0,51,47,52.0,41,38,51.9,16,27,37.2,55.2,100.0
2007,ANA,2006-11-03,H,Phoenix Coyotes,6,2,W,,35,10,3,,0,27,14,0,,0,,,,,,,,,,,
2007,ANA,2006-11-06,H,Pittsburgh Penguins,3,2,W,OT,40,10,2,,0,17,22,0,,0,,,,,,,,,,,
2015,ANA,2014-10-11,A,Detroit Red Wings,3,2,W,,26,6,0,,0,29,8,0,,0,37,42,46.8,26,27,49.1,25,17,59.5,51.7,104.3
2015,ANA,2014-10-13,A,Buffalo Sabres,5,1,W,,44,13,1,,0,12,19,0,,0,55,29,65.5,46,15,75.4,35,11,76.1,75.3,98.0
2017,ANA,2016-10-13,A,Dallas Stars,2,4,L,,35,8,0,5,1,20,10,0,4,0,40,41,49.4,34,29,54.0,27,14,65.9,75.0,79.5
2010,ANA,2009-10-17,H,St. Louis Blues,0,5,L,,26,19,0,,0,32,17,2,,0,33,47,41.3,29,40,42.0,21,14,60.0,23.1,88.0
2010,ANA,2009-10-21,H,Dallas Stars,2,4,L,,26,16,0,,0,37,12,1,,0,51,36,58.6,43,30,58.9,20,27,42.6,46.7,97.2
2008,ANA,2007-10-28,H,Edmonton Oilers,2,3,L,SO,32,8,0,,0,22,6,0,,1,,,,,,,,,,,
2008,ANA,2007-11-01,H,Columbus Blue Jackets,2,1,W,SO,34,39,0,,0,20,37,1,,0,,,,,,,,,,,
2013,ANA,2013-01-26,H,Nashville Predators,3,2,W,SO,22,6,0,,0,21,8,0,,0,49,36,57.6,34,27,55.7,17,17,50.0,76.2,98.8
2013,ANA,2013-01-29,A,San Jose Sharks,2,3,L,SO,30,4,0,,0,18,6,0,,0,53,44,54.6,35,32,52.2,17,20,45.9,67.1,97.3
2018,ANA,2017-10-05,H,Arizona Coyotes,5,4,W,,41,18,0,4,0,30,8,2,4,0,49,47,51.0,42,32,56.8,31,25,55.4,58.1,106.6
2012,ANA,2011-10-16,H,St. Louis Blues,4,2,W,,23,10,1,,0,30,10,0,,0,33,45,42.3,23,37,38.3,23,18,56.1,42.0,108.3
2012,ANA,2011-10-17,A,San Jose Sharks,3,2,W,,22,17,1,,0,43,21,1,,0,35,66,34.7,25,44,36.2,17,26,39.5,38.5,107.5
2014,ANA,2013-10-06,A,Winnipeg Jets,3,2,W,,34,6,0,,0,17,8,1,,0,49,34,59.0,39,22,63.9,25,20,55.6,72.0,103.7
2009,ANA,2008-10-21,A,Toronto Maple Leafs,3,2,W,SO,21,8,0,,0,38,2,0,,0,47,68,40.9,29,51,36.3,17,30,36.2,40.3,104.6
2016,ANA,2015-10-12,H,Vancouver Canucks,1,2,L,SO,29,9,0,2,0,25,9,0,2,0,58,42,58.0,41,31,56.9,16,18,47.1,62.4,99.6
2016,ANA,2015-10-14,H,Arizona Coyotes,0,4,L,,37,17,0,3,0,29,11,1,6,0,39,34,53.4,34,25,57.6,23,19,54.8,70.4,85.7
2011,ANA,2010-10-17,H,Phoenix Coyotes,3,2,W,,35,6,0,,0,38,8,0,,0,47,56,45.6,44,51,46.3,21,31,40.4,54.5,103.4
2011,ANA,2010-10-20,A,Columbus Blue Jackets,1,3,L,,32,6,0,,0,22,10,0,,0,50,33,60.2,34,27,55.7,27,25,51.9,70.8,89.6
2007,ANA,2006-11-09,A,Vancouver Canucks,6,0,W,,27,13,0,,0,20,32,,,,,,,,,,,,,,
2007,ANA,2006-11-10,A,Calgary Flames,0,3,L,,37,14,0,,0,18,20,0,,0,,,,,,,,,,,
2015,ANA,2014-10-14,A,Philadelphia Flyers,4,3,W,SO,28,8,0,,0,42,4,2,,0,37,63,37.0,28,40,41.2,24,25,49.0,54.5,108.8
2015,ANA,2014-10-17,H,Minnesota Wild,2,1,W,,26,13,0,,1,28,25,0,,0,39,41,48.8,30,29,50.8,27,23,54.0,46.9,100.5
2017,ANA,2016-10-15,A,Pittsburgh Penguins,2,3,L,,36,6,1,3,0,45,6,1,3,0,54,46,54.0,41,40,50.6,34,18,65.4,42.9,97.7
2010,ANA,2009-10-24,H,Columbus Blue Jackets,4,6,L,,36,6,2,,0,37,6,0,,0,48,49,49.5,41,43,48.8,23,35,39.7,51.2,89.0
2010,ANA,2009-10-26,H,Toronto Maple Leafs,3,6,L,,28,45,1,,0,39,29,5,,0,40,37,51.9,33,27,55.0,24,18,57.1,51.8,103.6
2008,ANA,2007-11-03,A,Phoenix Coyotes,5,2,W,,39,23,2,,0,32,47,1,,0,,,,,,,,,,,
2008,ANA,2007-11-05,H,Dallas Stars,0,5,L,,19,15,0,,0,24,17,2,,0,,,,,,,,,,,
2013,ANA,2013-02-01,H,Minnesota Wild,3,1,W,,31,2,1,,0,27,4,0,,0,57,41,58.2,38,30,55.9,21,26,44.7,56.3,103.1
