year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
2015,ARI,2014-10-09,H,Winnipeg Jets,2,6,L,,28,21,0,,0,27,17,0,,1,46,24,65.7,34,19,64.2,23,16,59.0,67.6,73.0
2015,ARI,2014-10-11,H,Los Angeles Kings,3,2,W,OT,40,12,2,,0,26,14,0,,0,52,56,48.1,45,35,56.3,28,31,47.5,55.6,94.4
2015,ARI,2014-10-15,H,Edmonton Oilers,7,4,W,,30,11,1,,0,27,15,0,,0,41,45,47.7,32,30,51.6,27,26,50.9,51.3,105.0
2017,ARI,2016-10-15,H,Philadelphia Flyers,4,3,W,OT,35,6,1,6,1,30,30,0,4,0,35,52,40.2,30,39,43.5,15,23,39.5,29.6,98.0
2015,ARI,2014-10-18,H,St. Louis Blues,1,6,L,,25,15,1,,0,36,15,4,,0,37,56,39.8,25,44,36.2,26,24,52.0,37.5,93.1
2017,ARI,2016-10-18,A,Ottawa Senators,4,7,L,,35,6,1,5,0,42,14,1,2,1,60,54,52.6,41,45,47.7,28,26,51.9,36.5,96.1
2017,ARI,2016-10-20,A,Montreal Canadiens,2,5,L,,29,10,0,2,1,43,6,1,4,0,53,67,44.2,36,52,40.9,24,24,50.0,56.4,93.3
2019,ARI,2018-10-04,A,Dallas Stars,0,3,L,,30,8,0,2,0,25,8,0,2,0,49,45,52.1,34,33,50.7,27,32,45.8,62.1,86.4
2015,ARI,2014-10-21,A,Nashville Predators,3,4,L,SO,36,8,2,,0,26,10,0,,0,40,44,47.6,29,33,46.8,31,22,58.5,61.3,88.1
2015,ARI,2014-10-23,A,Minnesota Wild,0,2,L,,26,4,0,,0,29,4,0,,0,47,50,48.5,35,34,50.7,30,16,65.2,57.0,91.7
2017,ARI,2016-10-21,A,New York Islanders,2,3,L,,25,8,0,4,0,31,10,0,3,1,47,44,51.6,33,33,50.0,33,15,68.8,58.2,100.7
2019,ARI,2018-10-06,H,Anaheim Ducks,0,1,L,,41,4,0,4,0,20,8,0,2,0,65,31,67.7,47,28,62.7,25,23,52.1,58.6,94.7
2019,ARI,2018-10-10,A,Anaheim Ducks,3,2,W,SO,39,6,1,3,1,25,6,0,3,0,62,42,59.6,45,32,58.4,22,21,51.2,55.0,91.3
2016,ARI,2015-10-09,A,Los Angeles Kings,4,1,W,,22,10,0,3,0,41,8,0,4,1,27,54,33.3,24,48,33.3,17,19,47.2,33.3,116.7
2015,ARI,2014-10-25,H,Florida Panthers,2,1,W,OT,41,4,2,,0,24,16,0,,0,49,37,57.0,35,31,53.0,23,21,52.3,68.2,95.2
2017,ARI,2016-10-23,A,New York Rangers,2,3,L,,29,4,0,1,0,26,2,1,2,0,65,43,60.2,39,36,52.0,30,24,55.6,61.3,98.4
