year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1925,BOS,1924-12-01,H,Montreal Maroons,2,1,W,,0,18,0,,0,0,19,0,,0,,,,,,,,,,,
1925,BOS,1924-12-03,A,Toronto St. Patricks,3,5,L,,0,11,0,,0,0,19,2,,0,,,,,,,,,,,
1925,BOS,1924-12-08,H,Montreal Canadiens,3,4,L,,0,8,0,,0,0,4,0,,0,,,,,,,,,,,
1926,BOS,1925-11-26,H,Pittsburgh Pirates,1,2,L,,0,12,0,,0,0,12,0,,0,,,,,,,,,,,
1927,BOS,1926-11-16,H,Montreal Canadiens,4,1,W,,0,14,0,,0,0,10,0,,0,,,,,,,,,,,
1925,BOS,1924-12-10,A,Hamilton Tigers,1,7,L,,0,12,0,,0,0,10,1,,0,,,,,,,,,,,
1925,BOS,1924-12-15,H,Ottawa Senators,2,10,L,,0,2,0,,0,0,4,0,,0,,,,,,,,,,,
1925,BOS,1924-12-17,A,Montreal Maroons,2,6,L,,0,4,0,,0,0,4,0,,1,,,,,,,,,,,
1926,BOS,1925-11-28,A,Toronto St. Patricks,3,2,W,,0,12,0,,0,0,13,0,,0,,,,,,,,,,,
1926,BOS,1925-12-01,H,Montreal Canadiens,2,3,L,,0,8,0,,0,0,12,1,,0,,,,,,,,,,,
1927,BOS,1926-11-18,A,Detroit Cougars,2,0,W,,0,8,0,,0,0,6,0,,0,,,,,,,,,,,
1927,BOS,1926-11-20,A,Chicago Black Hawks,1,5,L,,0,8,0,,0,0,4,0,,0,,,,,,,,,,,
1925,BOS,1924-12-22,H,Toronto St. Patricks,1,10,L,,0,2,0,,0,0,10,0,,0,,,,,,,,,,,
1925,BOS,1924-12-25,A,Montreal Canadiens,0,5,L,,0,2,0,,0,0,4,0,,0,,,,,,,,,,,
1928,BOS,1927-11-15,H,Chicago Black Hawks,1,1,T,OT,0,10,0,,0,0,18,1,,0,,,,,,,,,,,
1926,BOS,1925-12-03,A,Ottawa Senators,0,2,L,,0,2,0,,0,0,6,0,,0,,,,,,,,,,,
1926,BOS,1925-12-05,A,Montreal Maroons,0,4,L,,0,4,0,,0,0,10,0,,0,,,,,,,,,,,
1929,BOS,1928-11-15,A,Pittsburgh Pirates,1,0,W,OT,0,21,0,,0,0,12,0,,0,,,,,,,,,,,
1927,BOS,1926-11-23,H,Montreal Maroons,1,2,L,,0,19,0,,0,0,14,0,,0,,,,,,,,,,,
1927,BOS,1926-11-30,H,Ottawa Senators,1,2,L,,0,4,0,,0,0,2,0,,0,,,,,,,,,,,
1925,BOS,1924-12-29,H,Hamilton Tigers,1,2,L,,0,23,0,,0,0,17,0,,0,,,,,,,,,,,
1925,BOS,1925-01-01,A,Ottawa Senators,2,5,L,,0,12,0,,0,0,4,0,,0,,,,,,,,,,,
