year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1999,CAR,1998-10-10,H,Tampa Bay Lightning,4,4,T,OT,34,10,3,,0,25,18,1,,0,,,,,,,,,,,
1999,CAR,1998-10-13,A,Nashville Predators,2,3,L,,36,18,0,,0,30,18,1,,0,,,,,,,,,,,
1999,CAR,1998-10-15,H,Dallas Stars,2,2,T,OT,22,6,0,,0,38,6,0,,0,,,,,,,,,,,
1998,CAR,1997-10-01,A,Tampa Bay Lightning,2,4,L,,29,39,1,,0,27,39,2,,0,,,,,,,,,,,
1999,CAR,1998-10-17,H,Philadelphia Flyers,1,1,T,OT,19,10,1,,0,19,12,0,,0,,,,,,,,,,,
1999,CAR,1998-10-20,H,Vancouver Canucks,3,1,W,,27,18,1,,0,17,36,0,,0,,,,,,,,,,,
1998,CAR,1997-10-03,H,Pittsburgh Penguins,3,4,L,,28,72,2,,0,27,43,1,,0,,,,,,,,,,,
1998,CAR,1997-10-04,A,Ottawa Senators,2,3,L,,18,16,1,,0,27,10,2,,0,,,,,,,,,,,
1999,CAR,1998-10-24,A,Ottawa Senators,3,1,W,,26,18,1,,0,28,12,1,,0,,,,,,,,,,,
1999,CAR,1998-10-25,H,Los Angeles Kings,2,3,L,,31,8,0,,0,25,24,0,,0,,,,,,,,,,,
2000,CAR,1999-10-02,A,Boston Bruins,3,1,W,,20,13,0,,0,23,9,1,,0,,,,,,,,,,,
2002,CAR,2001-10-05,H,New York Rangers,3,1,W,,31,15,0,,0,30,13,1,,0,,,,,,,,,,,
1998,CAR,1997-10-07,H,Los Angeles Kings,3,3,T,OT,29,18,0,,0,30,10,0,,0,,,,,,,,,,,
