year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1982,CGY,1981-10-08,H,Vancouver Canucks,1,1,T,,29,24,0,,0,23,6,0,,0,,,,,,,,,,,
1982,CGY,1981-10-10,A,St. Louis Blues,6,4,W,,33,10,2,,0,44,12,0,,0,,,,,,,,,,,
1982,CGY,1981-10-11,A,Chicago Black Hawks,0,3,L,,22,8,0,,0,31,12,0,,0,,,,,,,,,,,
1981,CGY,1980-10-09,H,Quebec Nordiques,5,5,T,,39,6,3,,0,29,8,0,,0,,,,,,,,,,,
1982,CGY,1981-10-13,A,Los Angeles Kings,3,4,L,,30,8,0,,0,47,2,2,,0,,,,,,,,,,,
1982,CGY,1981-10-15,H,Winnipeg Jets,4,5,L,,37,8,0,,0,36,6,0,,0,,,,,,,,,,,
1984,CGY,1983-10-05,A,Vancouver Canucks,5,3,W,,28,9,0,,0,25,9,1,,0,,,,,,,,,,,
1983,CGY,1982-10-05,A,Edmonton Oilers,5,7,L,,37,13,2,,0,33,21,0,,0,,,,,,,,,,,
1981,CGY,1980-10-11,A,Colorado Rockies,2,6,L,,24,8,0,,0,42,10,1,,1,,,,,,,,,,,
1982,CGY,1981-10-16,A,Edmonton Oilers,4,8,L,,32,14,2,,0,37,10,2,,0,,,,,,,,,,,
1985,CGY,1984-10-11,H,St. Louis Blues,2,4,L,,32,4,0,,0,35,8,1,,0,,,,,,,,,,,
1986,CGY,1985-10-11,H,Winnipeg Jets,8,3,W,,32,49,3,,1,34,57,1,,0,,,,,,,,,,,
1987,CGY,1986-10-09,A,Boston Bruins,5,3,W,,33,18,2,,0,32,16,1,,0,,,,,,,,,,,
1984,CGY,1983-10-09,A,Winnipeg Jets,1,1,T,OT,23,14,0,,0,48,8,0,,0,,,,,,,,,,,
1984,CGY,1983-10-12,A,Minnesota North Stars,5,7,L,,24,14,1,,0,42,14,3,,0,,,,,,,,,,,
1983,CGY,1982-10-07,H,New York Islanders,4,5,L,,40,8,1,,0,33,8,1,,0,,,,,,,,,,,
1983,CGY,1982-10-09,A,Los Angeles Kings,1,3,L,,18,14,0,,0,37,10,3,,0,,,,,,,,,,,
1989,CGY,1988-10-06,H,New York Islanders,4,4,T,OT,45,17,2,,0,26,17,2,,0,,,,,,,,,,,
1988,CGY,1987-10-08,H,Detroit Red Wings,5,1,W,,43,25,1,,0,16,29,0,,0,,,,,,,,,,,
1981,CGY,1980-10-12,A,Chicago Black Hawks,3,3,T,,27,28,0,,1,35,22,1,,0,,,,,,,,,,,
1981,CGY,1980-10-14,H,Los Angeles Kings,4,2,W,,30,18,1,,0,27,12,1,,0,,,,,,,,,,,
1982,CGY,1981-10-20,H,Edmonton Oilers,4,5,L,,33,10,1,,0,26,8,0,,0,,,,,,,,,,,
1982,CGY,1981-10-22,H,Pittsburgh Penguins,3,3,T,,25,30,2,,0,28,32,1,,0,,,,,,,,,,,
1985,CGY,1984-10-13,H,Quebec Nordiques,7,2,W,,38,8,0,,0,32,8,1,,0,,,,,,,,,,,
1985,CGY,1984-10-14,A,Vancouver Canucks,7,5,W,,36,17,3,,1,31,17,2,,0,,,,,,,,,,,
1986,CGY,1985-10-13,A,Los Angeles Kings,9,2,W,,34,34,3,,0,26,27,1,,0,,,,,,,,,,,
1986,CGY,1985-10-16,H,St. Louis Blues,1,2,L,,28,13,0,,0,29,17,0,,0,,,,,,,,,,,
1987,CGY,1986-10-11,A,Hartford Whalers,5,6,L,,31,18,1,,0,27,12,2,,1,,,,,,,,,,,
1987,CGY,1986-10-12,A,Buffalo Sabres,4,2,W,,28,33,1,,0,22,25,0,,0,,,,,,,,,,,
1984,CGY,1983-10-15,H,Edmonton Oilers,3,4,L,,41,54,1,,0,31,42,2,,0,,,,,,,,,,,
1984,CGY,1983-10-16,A,Edmonton Oilers,1,5,L,,37,34,0,,0,36,38,1,,0,,,,,,,,,,,
1991,CGY,1990-10-04,H,Vancouver Canucks,3,2,W,OT,29,23,2,,0,26,10,0,,0,,,,,,,,,,,
1990,CGY,1989-10-05,H,Detroit Red Wings,10,7,W,,36,24,3,,0,32,39,3,,0,,,,,,,,,,,
1992,CGY,1991-10-04,H,Edmonton Oilers,9,2,W,,45,90,4,,0,22,101,2,,0,,,,,,,,,,,
1993,CGY,1992-10-06,H,Los Angeles Kings,4,5,L,OT,37,19,2,,0,37,19,1,,0,,,,,,,,,,,
1983,CGY,1982-10-12,H,Edmonton Oilers,9,4,W,,44,30,4,,0,29,40,2,,0,,,,,,,,,,,
1983,CGY,1982-10-14,H,Detroit Red Wings,6,4,W,,28,15,2,,0,40,15,0,,0,,,,,,,,,,,
1989,CGY,1988-10-08,A,Los Angeles Kings,5,6,L,OT,47,35,1,,0,23,45,0,,1,,,,,,,,,,,
1989,CGY,1988-10-10,H,Detroit Red Wings,5,2,W,,32,38,2,,0,18,38,2,,0,,,,,,,,,,,
1988,CGY,1987-10-10,H,Winnipeg Jets,1,5,L,,22,35,0,,1,29,30,1,,0,,,,,,,,,,,
1988,CGY,1987-10-12,A,Winnipeg Jets,2,3,L,,29,60,1,,0,28,70,2,,0,,,,,,,,,,,
1981,CGY,1980-10-16,H,Boston Bruins,2,1,W,,24,12,0,,1,21,12,0,,0,,,,,,,,,,,
1981,CGY,1980-10-18,H,Minnesota North Stars,6,2,W,,27,18,2,,0,24,8,1,,0,,,,,,,,,,,
1982,CGY,1981-10-24,H,Hartford Whalers,7,3,W,,26,14,2,,1,29,15,1,,0,,,,,,,,,,,
1982,CGY,1981-10-28,A,Minnesota North Stars,1,6,L,,27,27,0,,0,35,23,3,,0,,,,,,,,,,,
1985,CGY,1984-10-17,H,Winnipeg Jets,7,4,W,,38,4,3,,1,26,10,0,,0,,,,,,,,,,,
1985,CGY,1984-10-19,H,Boston Bruins,8,2,W,,41,42,3,,0,25,48,1,,1,,,,,,,,,,,
1986,CGY,1985-10-19,H,Boston Bruins,3,6,L,,36,29,2,,0,31,21,1,,0,,,,,,,,,,,
1987,CGY,1986-10-16,H,Quebec Nordiques,2,4,L,,36,21,2,,0,32,29,1,,0,,,,,,,,,,,
1984,CGY,1983-10-18,A,New York Islanders,4,3,W,,26,10,0,,0,34,10,1,,0,,,,,,,,,,,
1994,CGY,1993-10-05,H,New York Islanders,2,1,W,,20,12,1,,0,26,12,0,,0,,,,,,,,,,,
1991,CGY,1990-10-06,H,Toronto Maple Leafs,4,1,W,,45,16,4,,0,32,20,1,,0,,,,,,,,,,,
1990,CGY,1989-10-07,H,New York Islanders,6,3,W,,35,20,2,,0,28,16,1,,0,,,,,,,,,,,
1992,CGY,1991-10-06,A,Winnipeg Jets,3,5,L,,36,48,2,,0,24,24,3,,0,,,,,,,,,,,
1993,CGY,1992-10-08,H,Edmonton Oilers,7,2,W,,25,24,5,,0,25,38,1,,0,,,,,,,,,,,
1983,CGY,1982-10-16,A,Minnesota North Stars,4,8,L,,23,11,0,,0,44,13,1,,0,,,,,,,,,,,
1989,CGY,1988-10-14,H,Edmonton Oilers,6,1,W,,38,75,1,,1,18,74,0,,0,,,,,,,,,,,
1988,CGY,1987-10-14,A,Edmonton Oilers,5,4,W,,33,28,1,,1,22,28,1,,0,,,,,,,,,,,
1988,CGY,1987-10-16,H,Edmonton Oilers,2,5,L,,37,34,0,,1,22,30,1,,0,,,,,,,,,,,
1981,CGY,1980-10-22,A,Edmonton Oilers,3,5,L,,31,15,1,,0,31,11,3,,0,,,,,,,,,,,
1981,CGY,1980-10-23,H,Toronto Maple Leafs,4,5,L,,24,2,1,,0,34,8,0,,0,,,,,,,,,,,
