year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1988,CHI,1987-10-08,H,Toronto Maple Leafs,5,7,L,,34,39,2,,0,33,37,0,,0,,,,,,,,,,,
1988,CHI,1987-10-10,A,Washington Capitals,4,6,L,,29,21,1,,0,33,23,2,,1,,,,,,,,,,,
1988,CHI,1987-10-11,H,Philadelphia Flyers,5,3,W,,32,17,1,,0,36,13,0,,0,,,,,,,,,,,
1987,CHI,1986-10-09,H,New York Islanders,3,2,W,,34,14,2,,0,33,18,1,,0,,,,,,,,,,,
1988,CHI,1987-10-14,H,St. Louis Blues,5,3,W,,32,31,2,,0,36,27,2,,0,,,,,,,,,,,
1988,CHI,1987-10-17,A,St. Louis Blues,3,2,W,,33,46,0,,0,26,30,1,,0,,,,,,,,,,,
1987,CHI,1986-10-11,A,Detroit Red Wings,3,4,L,,25,24,1,,0,24,28,1,,0,,,,,,,,,,,
1987,CHI,1986-10-12,H,Pittsburgh Penguins,1,4,L,,40,16,1,,0,30,16,2,,0,,,,,,,,,,,
1988,CHI,1987-10-18,H,Winnipeg Jets,6,4,W,,35,28,2,,1,43,26,3,,0,,,,,,,,,,,
1988,CHI,1987-10-21,A,Detroit Red Wings,5,1,W,,29,39,1,,1,19,24,0,,0,,,,,,,,,,,
1989,CHI,1988-10-06,H,New York Rangers,2,2,T,OT,31,31,0,,0,33,32,0,,0,,,,,,,,,,,
1987,CHI,1986-10-15,H,New York Rangers,5,5,T,OT,35,11,0,,0,35,13,1,,1,,,,,,,,,,,
1987,CHI,1986-10-18,A,Toronto Maple Leafs,2,3,L,,21,30,1,,0,35,18,1,,0,,,,,,,,,,,
1988,CHI,1987-10-23,A,New York Rangers,3,7,L,,19,21,1,,0,37,17,2,,0,,,,,,,,,,,
1988,CHI,1987-10-24,A,Hartford Whalers,3,5,L,,18,14,1,,1,40,12,1,,1,,,,,,,,,,,
1991,CHI,1990-10-04,H,New York Rangers,4,3,W,,34,48,1,,1,30,46,1,,0,,,,,,,,,,,
1989,CHI,1988-10-08,A,Toronto Maple Leafs,4,7,L,,25,42,3,,0,33,42,2,,2,,,,,,,,,,,
1989,CHI,1988-10-09,H,Toronto Maple Leafs,4,8,L,,25,77,1,,0,41,39,3,,0,,,,,,,,,,,
1987,CHI,1986-10-19,H,Minnesota North Stars,5,8,L,,39,42,4,,0,34,30,4,,0,,,,,,,,,,,
