year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1997,COL,1996-10-04,A,St. Louis Blues,2,4,L,,37,20,1,,0,29,14,1,,0,,,,,,,,,,,
1997,COL,1996-10-05,A,Dallas Stars,1,4,L,,29,37,1,,0,25,54,1,,0,,,,,,,,,,,
1997,COL,1996-10-08,H,San Jose Sharks,6,0,W,,34,12,2,,0,24,24,,,,,,,,,,,,,,
1996,COL,1995-10-06,H,Detroit Red Wings,3,2,W,,23,33,1,,1,32,16,1,,0,,,,,,,,,,,
1997,COL,1996-10-10,H,Mighty Ducks of Anaheim,6,6,T,OT,38,43,1,,0,22,47,0,,0,,,,,,,,,,,
1997,COL,1996-10-11,A,Chicago Blackhawks,2,0,W,,28,20,1,,0,34,18,,,,,,,,,,,,,,
1996,COL,1995-10-07,A,Los Angeles Kings,2,4,L,,24,12,1,,0,36,4,2,,0,,,,,,,,,,,
1996,COL,1995-10-09,H,Pittsburgh Penguins,6,6,T,OT,46,32,2,,0,26,28,4,,0,,,,,,,,,,,
1997,COL,1996-10-15,H,Edmonton Oilers,7,2,W,,28,14,2,,0,35,16,0,,0,,,,,,,,,,,
1997,COL,1996-10-17,H,Florida Panthers,1,2,L,,26,12,0,,0,32,14,0,,1,,,,,,,,,,,
2002,COL,2001-10-03,A,Pittsburgh Penguins,3,1,W,,20,8,1,,0,33,8,0,,0,,,,,,,,,,,
1996,COL,1995-10-11,H,Boston Bruins,3,1,W,,19,14,2,,0,35,10,0,,1,,,,,,,,,,,
1996,COL,1995-10-13,A,Washington Capitals,1,3,L,,26,12,1,,0,18,18,2,,0,,,,,,,,,,,
1997,COL,1996-10-19,H,Vancouver Canucks,9,2,W,,32,2,1,,0,25,10,0,,0,,,,,,,,,,,
1997,COL,1996-10-22,A,Calgary Flames,1,5,L,,25,6,0,,0,35,14,0,,1,,,,,,,,,,,
1998,COL,1997-10-01,H,Dallas Stars,2,2,T,OT,31,16,1,,0,26,16,1,,0,,,,,,,,,,,
2002,COL,2001-10-09,H,Vancouver Canucks,5,4,W,,31,19,2,,1,32,15,3,,0,,,,,,,,,,,
2002,COL,2001-10-11,A,Edmonton Oilers,3,5,L,,34,26,1,,0,36,28,2,,0,,,,,,,,,,,
2001,COL,2000-10-04,A,Dallas Stars,2,2,T,OT,28,18,1,,0,21,20,1,,0,,,,,,,,,,,
1996,COL,1995-10-14,A,St. Louis Blues,1,4,L,,40,31,1,,0,29,35,1,,2,,,,,,,,,,,
1996,COL,1995-10-18,H,Washington Capitals,4,2,W,,33,20,1,,0,30,14,2,,0,,,,,,,,,,,
1997,COL,1996-10-23,A,Vancouver Canucks,4,1,W,,31,16,1,,1,21,16,0,,0,,,,,,,,,,,
1997,COL,1996-10-26,A,Edmonton Oilers,4,2,W,,30,29,0,,0,27,15,2,,0,,,,,,,,,,,
1998,COL,1997-10-03,A,Calgary Flames,4,1,W,,22,40,1,,0,27,54,0,,0,,,,,,,,,,,
1998,COL,1997-10-05,A,Edmonton Oilers,3,0,W,,28,30,1,,0,34,24,,,,,,,,,,,,,,
2004,COL,2003-10-10,H,Chicago Blackhawks,5,0,W,,29,17,2,,0,31,19,,,,,,,,,,,,,,
2002,COL,2001-10-13,A,Vancouver Canucks,0,4,L,,22,45,0,,0,22,48,0,,0,,,,,,,,,,,
2002,COL,2001-10-16,H,Tampa Bay Lightning,2,1,W,,25,10,0,,0,20,6,0,,0,,,,,,,,,,,
2002,COL,2001-10-18,H,Edmonton Oilers,1,4,L,,29,16,1,,0,30,16,2,,0,,,,,,,,,,,
2001,COL,2000-10-07,A,Edmonton Oilers,1,1,T,OT,26,29,0,,0,21,19,0,,0,,,,,,,,,,,
2001,COL,2000-10-10,A,Calgary Flames,3,1,W,,19,18,1,,0,30,12,0,,0,,,,,,,,,,,
1996,COL,1995-10-23,H,Mighty Ducks of Anaheim,3,1,W,,27,15,2,,0,22,11,0,,0,,,,,,,,,,,
1996,COL,1995-10-25,A,Calgary Flames,3,2,W,,24,23,1,,0,21,23,1,,0,,,,,,,,,,,
1997,COL,1996-10-28,H,Washington Capitals,1,0,W,,34,10,0,,0,40,10,,,,,,,,,,,,,,
1997,COL,1996-10-30,H,St. Louis Blues,6,3,W,,37,12,1,,0,29,6,1,,0,,,,,,,,,,,
2003,COL,2002-10-09,H,Dallas Stars,1,1,T,OT,41,6,0,,0,25,14,0,,0,,,,,,,,,,,
2006,COL,2005-10-05,A,Edmonton Oilers,3,4,L,,17,16,0,,0,31,8,1,,0,,,,,,,,,,,
1998,COL,1997-10-07,H,Boston Bruins,3,2,W,,23,8,1,,0,30,12,0,,0,,,,,,,,,,,
1998,COL,1997-10-09,H,San Jose Sharks,3,2,W,,27,14,1,,0,31,14,0,,0,,,,,,,,,,,
2004,COL,2003-10-12,H,St. Louis Blues,1,2,L,,40,10,1,,0,26,18,1,,0,,,,,,,,,,,
2004,COL,2003-10-16,A,Minnesota Wild,5,2,W,,31,8,1,,0,23,4,1,,0,,,,,,,,,,,
2002,COL,2001-10-20,A,Columbus Blue Jackets,5,0,W,,20,24,1,,0,24,6,,,,,,,,,,,,,,
2002,COL,2001-10-21,A,Chicago Blackhawks,2,4,L,,16,4,2,,0,23,8,0,,1,,,,,,,,,,,
