year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1994,DAL,1993-10-05,H,Detroit Red Wings,6,4,W,,39,14,1,,0,35,22,0,,1,,,,,,,,,,,
1995,DAL,1995-01-20,A,Vancouver Canucks,1,1,T,OT,26,8,0,,0,25,21,1,,0,,,,,,,,,,,
1994,DAL,1993-10-07,A,Toronto Maple Leafs,3,6,L,,29,20,1,,0,42,8,2,,0,,,,,,,,,,,
1995,DAL,1995-01-24,A,Los Angeles Kings,4,2,W,,39,42,1,,0,30,48,1,,0,,,,,,,,,,,
1996,DAL,1995-10-07,A,Winnipeg Jets,5,7,L,,43,39,3,,1,34,59,1,,1,,,,,,,,,,,
1994,DAL,1993-10-09,H,Winnipeg Jets,3,3,T,OT,30,26,2,,1,24,36,1,,0,,,,,,,,,,,
1997,DAL,1996-10-05,H,Colorado Avalanche,4,1,W,,25,54,1,,0,29,37,1,,0,,,,,,,,,,,
1995,DAL,1995-01-25,A,Mighty Ducks of Anaheim,4,1,W,,34,13,0,,1,23,15,0,,0,,,,,,,,,,,
1996,DAL,1995-10-10,H,Calgary Flames,7,3,W,,28,28,3,,0,36,34,2,,0,,,,,,,,,,,
1994,DAL,1993-10-12,H,Chicago Blackhawks,3,3,T,OT,31,26,0,,0,31,24,1,,0,,,,,,,,,,,
1997,DAL,1996-10-08,H,Washington Capitals,5,3,W,,27,29,1,,0,26,33,2,,0,,,,,,,,,,,
1997,DAL,1996-10-10,A,New York Rangers,2,1,W,,26,21,0,,0,31,21,0,,0,,,,,,,,,,,
1995,DAL,1995-01-28,A,San Jose Sharks,2,3,L,,25,14,0,,0,24,6,0,,0,,,,,,,,,,,
1998,DAL,1997-10-01,A,Colorado Avalanche,2,2,T,OT,26,16,1,,0,31,16,1,,0,,,,,,,,,,,
1996,DAL,1995-10-12,H,St. Louis Blues,1,3,L,,36,54,0,,1,19,52,1,,1,,,,,,,,,,,
1994,DAL,1993-10-16,H,St. Louis Blues,4,0,W,,45,39,1,,0,26,26,,,,,,,,,,,,,,
1994,DAL,1993-10-18,A,Chicago Blackhawks,5,3,W,,29,20,1,,0,37,31,0,,0,,,,,,,,,,,
1999,DAL,1998-10-10,H,Buffalo Sabres,4,1,W,,26,21,3,,0,28,35,1,,0,,,,,,,,,,,
