year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1980,EDM,1979-10-10,A,Chicago Black Hawks,2,4,L,,32,33,1,,0,27,25,2,,0,,,,,,,,,,,
1980,EDM,1979-10-13,H,Detroit Red Wings,3,3,T,,35,13,1,,0,27,15,0,,0,,,,,,,,,,,
1981,EDM,1980-10-10,H,Quebec Nordiques,4,7,L,,26,15,2,,1,25,16,2,,0,,,,,,,,,,,
1980,EDM,1979-10-14,H,Vancouver Canucks,4,4,T,,32,4,1,,0,28,8,1,,0,,,,,,,,,,,
1980,EDM,1979-10-19,H,Quebec Nordiques,6,3,W,,36,16,2,,0,24,18,1,,0,,,,,,,,,,,
1982,EDM,1981-10-07,H,Colorado Rockies,7,4,W,,43,6,0,,0,19,4,2,,0,,,,,,,,,,,
1981,EDM,1980-10-12,H,Colorado Rockies,2,3,L,,29,12,0,,0,29,17,1,,1,,,,,,,,,,,
1980,EDM,1979-10-21,H,Minnesota North Stars,5,5,T,,19,27,2,,0,38,15,1,,0,,,,,,,,,,,
1980,EDM,1979-10-23,A,New York Islanders,3,3,T,,26,53,1,,0,25,46,1,,0,,,,,,,,,,,
1982,EDM,1981-10-09,A,Vancouver Canucks,2,6,L,,27,18,1,,0,31,20,1,,0,,,,,,,,,,,
1982,EDM,1981-10-10,A,Los Angeles Kings,7,4,W,,35,18,2,,0,38,14,1,,0,,,,,,,,,,,
1983,EDM,1982-10-05,H,Calgary Flames,7,5,W,,33,21,0,,0,37,13,2,,0,,,,,,,,,,,
1981,EDM,1980-10-15,A,Buffalo Sabres,0,2,L,,15,12,0,,0,30,6,0,,0,,,,,,,,,,,
1980,EDM,1979-10-24,A,New York Rangers,2,10,L,,20,22,1,,0,47,20,2,,0,,,,,,,,,,,
1982,EDM,1981-10-14,H,Winnipeg Jets,2,4,L,,28,29,0,,0,36,15,1,,0,,,,,,,,,,,
1984,EDM,1983-10-05,H,Toronto Maple Leafs,5,4,W,,38,18,1,,1,28,18,2,,0,,,,,,,,,,,
1985,EDM,1984-10-11,A,Los Angeles Kings,2,2,T,OT,27,14,0,,0,29,6,2,,0,,,,,,,,,,,
1983,EDM,1982-10-08,H,New York Islanders,4,6,L,,25,14,2,,0,31,10,0,,1,,,,,,,,,,,
1981,EDM,1980-10-18,A,New York Islanders,5,5,T,,20,12,2,,0,30,10,2,,1,,,,,,,,,,,
1980,EDM,1979-10-26,A,Atlanta Flames,3,7,L,,23,10,1,,0,28,4,2,,0,,,,,,,,,,,
1980,EDM,1979-10-28,H,Washington Capitals,4,6,L,,17,8,3,,0,33,10,0,,0,,,,,,,,,,,
1982,EDM,1981-10-16,H,Calgary Flames,8,4,W,,37,10,2,,0,32,14,2,,0,,,,,,,,,,,
1984,EDM,1983-10-07,A,Winnipeg Jets,8,6,W,,32,58,0,,2,40,42,2,,0,,,,,,,,,,,
1985,EDM,1984-10-12,H,St. Louis Blues,5,1,W,,36,10,3,,0,30,10,1,,0,,,,,,,,,,,
1983,EDM,1982-10-09,A,Vancouver Canucks,6,3,W,,29,33,0,,1,32,27,0,,0,,,,,,,,,,,
1986,EDM,1985-10-10,H,Winnipeg Jets,4,3,W,,30,59,2,,0,38,43,0,,0,,,,,,,,,,,
1981,EDM,1980-10-19,A,New York Rangers,4,2,W,,23,13,2,,0,35,13,0,,0,,,,,,,,,,,
1980,EDM,1979-10-30,A,St. Louis Blues,1,2,L,,19,4,0,,0,32,4,0,,0,,,,,,,,,,,
1980,EDM,1979-11-02,H,New York Islanders,7,5,W,,26,13,1,,0,30,13,2,,0,,,,,,,,,,,
1982,EDM,1981-10-18,A,Chicago Black Hawks,5,7,L,,35,27,1,,0,45,31,2,,2,,,,,,,,,,,
1982,EDM,1981-10-20,A,Calgary Flames,5,4,W,,26,8,0,,0,33,10,1,,0,,,,,,,,,,,
1984,EDM,1983-10-09,H,Minnesota North Stars,4,3,W,OT,34,8,0,,0,49,8,1,,0,,,,,,,,,,,
1985,EDM,1984-10-14,H,Quebec Nordiques,9,2,W,,32,23,0,,0,42,17,1,,0,,,,,,,,,,,
1985,EDM,1984-10-16,H,Boston Bruins,7,2,W,,30,31,0,,1,21,30,0,,0,,,,,,,,,,,
1987,EDM,1986-10-09,A,Philadelphia Flyers,1,2,L,,22,21,1,,0,30,17,0,,0,,,,,,,,,,,
1983,EDM,1982-10-12,A,Calgary Flames,4,9,L,,29,40,2,,0,44,30,4,,0,,,,,,,,,,,
1986,EDM,1985-10-13,H,St. Louis Blues,6,3,W,,31,12,0,,2,26,6,1,,0,,,,,,,,,,,
1981,EDM,1980-10-22,H,Calgary Flames,5,3,W,,31,11,3,,0,31,15,1,,0,,,,,,,,,,,
1980,EDM,1979-11-04,H,Boston Bruins,1,2,L,,16,4,0,,0,31,4,0,,0,,,,,,,,,,,
1980,EDM,1979-11-07,A,Detroit Red Wings,3,5,L,,21,50,1,,0,46,57,1,,0,,,,,,,,,,,
1982,EDM,1981-10-21,H,Hartford Whalers,5,2,W,,28,14,1,,0,28,8,1,,0,,,,,,,,,,,
1982,EDM,1981-10-23,H,Pittsburgh Penguins,8,3,W,,27,6,1,,0,38,10,1,,0,,,,,,,,,,,
1984,EDM,1983-10-12,H,Detroit Red Wings,8,3,W,,44,14,3,,0,28,8,1,,0,,,,,,,,,,,
1984,EDM,1983-10-15,A,Calgary Flames,4,3,W,,31,42,2,,0,41,54,1,,0,,,,,,,,,,,
1985,EDM,1984-10-18,A,Minnesota North Stars,7,5,W,,34,14,1,,1,47,10,1,,0,,,,,,,,,,,
1985,EDM,1984-10-19,A,Winnipeg Jets,7,4,W,,30,34,0,,0,39,32,1,,0,,,,,,,,,,,
1987,EDM,1986-10-11,A,Montreal Canadiens,5,4,W,OT,24,18,3,,0,38,6,1,,0,,,,,,,,,,,
1983,EDM,1982-10-14,A,Hartford Whalers,4,4,T,,33,22,1,,0,39,20,1,,0,,,,,,,,,,,
1983,EDM,1982-10-16,A,Boston Bruins,6,6,T,,31,36,0,,1,30,28,2,,0,,,,,,,,,,,
1988,EDM,1987-10-09,H,Detroit Red Wings,1,4,L,,26,23,1,,0,23,23,2,,0,,,,,,,,,,,
1986,EDM,1985-10-16,H,New York Islanders,6,4,W,,32,8,1,,0,36,4,0,,0,,,,,,,,,,,
1981,EDM,1980-10-24,H,Minnesota North Stars,2,4,L,,34,15,0,,0,31,19,0,,0,,,,,,,,,,,
1981,EDM,1980-10-26,H,Los Angeles Kings,4,4,T,,40,4,0,,0,23,6,0,,0,,,,,,,,,,,
1980,EDM,1979-11-08,A,Boston Bruins,2,4,L,,26,4,0,,0,36,10,1,,1,,,,,,,,,,,
1980,EDM,1979-11-11,H,Toronto Maple Leafs,3,6,L,,36,8,2,,0,32,12,1,,0,,,,,,,,,,,
1982,EDM,1981-10-24,A,Colorado Rockies,3,1,W,,53,10,1,,0,19,12,1,,0,,,,,,,,,,,
1982,EDM,1981-10-27,A,New York Islanders,3,4,L,,28,10,2,,0,34,14,1,,0,,,,,,,,,,,
1984,EDM,1983-10-16,H,Calgary Flames,5,1,W,,36,38,1,,0,37,34,0,,0,,,,,,,,,,,
1984,EDM,1983-10-19,A,Vancouver Canucks,10,7,W,,35,14,0,,0,29,6,1,,0,,,,,,,,,,,
1985,EDM,1984-10-21,H,Calgary Flames,6,4,W,,35,19,1,,2,46,24,1,,0,,,,,,,,,,,
1985,EDM,1984-10-24,H,Washington Capitals,3,3,T,OT,33,16,2,,0,47,10,2,,0,,,,,,,,,,,
1987,EDM,1986-10-12,A,Winnipeg Jets,3,5,L,,25,12,2,,0,33,10,2,,0,,,,,,,,,,,
1987,EDM,1986-10-15,H,Quebec Nordiques,5,2,W,,32,14,2,,0,30,14,2,,0,,,,,,,,,,,
1983,EDM,1982-10-17,A,Buffalo Sabres,4,6,L,,22,20,1,,0,36,12,3,,0,,,,,,,,,,,
1988,EDM,1987-10-11,A,Los Angeles Kings,9,2,W,,40,24,5,,1,35,30,0,,0,,,,,,,,,,,
1988,EDM,1987-10-14,H,Calgary Flames,4,5,L,,22,28,1,,0,33,28,1,,1,,,,,,,,,,,
