year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1968,LAK,1967-10-14,H,Philadelphia Flyers,4,2,W,,38,16,0,,0,16,20,0,,0,,,,,,,,,,,
1968,LAK,1967-10-15,H,Minnesota North Stars,5,3,W,,41,24,1,,2,20,10,1,,0,,,,,,,,,,,
1968,LAK,1967-10-18,A,Oakland Seals,2,2,T,,24,15,1,,0,27,13,2,,0,,,,,,,,,,,
1968,LAK,1967-10-21,A,St. Louis Blues,3,3,T,,36,12,1,,0,36,6,2,,0,,,,,,,,,,,
1968,LAK,1967-10-22,A,Chicago Black Hawks,5,3,W,,29,8,0,,0,42,6,0,,0,,,,,,,,,,,
1968,LAK,1967-10-25,A,Toronto Maple Leafs,2,4,L,,31,20,1,,0,34,8,2,,0,,,,,,,,,,,
1968,LAK,1967-10-26,A,Boston Bruins,0,2,L,,26,8,0,,0,40,6,0,,0,,,,,,,,,,,
1968,LAK,1967-10-28,A,Pittsburgh Penguins,5,3,W,,30,12,1,,1,43,4,1,,0,,,,,,,,,,,
1970,LAK,1969-10-11,A,Montreal Canadiens,1,5,L,,23,18,0,,0,47,20,1,,0,,,,,,,,,,,
1969,LAK,1968-10-12,A,St. Louis Blues,0,6,L,,23,25,0,,0,37,11,2,,0,,,,,,,,,,,
1972,LAK,1971-10-08,A,California Golden Seals,4,4,T,,22,17,1,,0,35,19,1,,0,,,,,,,,,,,
1971,LAK,1970-10-09,A,Vancouver Canucks,3,1,W,,36,22,1,,0,26,28,0,,0,,,,,,,,,,,
1968,LAK,1967-10-31,H,New York Rangers,1,6,L,,27,6,0,,0,27,4,1,,0,,,,,,,,,,,
1968,LAK,1967-11-02,H,Chicago Black Hawks,1,3,L,,28,8,0,,0,17,14,0,,0,,,,,,,,,,,
1970,LAK,1969-10-15,A,St. Louis Blues,1,4,L,,23,12,1,,0,43,10,2,,0,,,,,,,,,,,
1970,LAK,1969-10-17,A,Oakland Seals,1,5,L,,33,25,1,,0,21,13,2,,0,,,,,,,,,,,
1970,LAK,1969-10-18,H,Oakland Seals,5,0,W,,33,10,0,,0,30,2,0,,0,,,,,,,,,,,
1969,LAK,1968-10-13,A,Oakland Seals,4,4,T,,26,13,1,,0,29,9,1,,0,,,,,,,,,,,
1969,LAK,1968-10-17,H,Boston Bruins,2,1,W,,22,12,1,,0,29,10,0,,0,,,,,,,,,,,
1969,LAK,1968-10-19,A,Minnesota North Stars,1,4,L,,31,28,1,,0,30,30,1,,0,,,,,,,,,,,
1972,LAK,1971-10-10,A,Vancouver Canucks,4,3,W,,21,14,0,,0,34,16,0,,0,,,,,,,,,,,
1972,LAK,1971-10-13,H,Pittsburgh Penguins,1,4,L,,29,11,0,,0,36,13,0,,0,,,,,,,,,,,
1971,LAK,1970-10-14,H,Boston Bruins,5,8,L,,35,8,1,,0,45,12,1,,0,,,,,,,,,,,
1971,LAK,1970-10-17,H,California Golden Seals,6,1,W,,34,12,0,,1,24,8,0,,0,,,,,,,,,,,
1968,LAK,1967-11-04,A,Minnesota North Stars,2,2,T,,25,16,0,,0,39,10,2,,0,,,,,,,,,,,
1968,LAK,1967-11-05,A,Detroit Red Wings,6,4,W,,41,6,2,,0,34,8,2,,0,,,,,,,,,,,
1970,LAK,1969-10-22,H,Pittsburgh Penguins,2,0,W,,13,19,1,,0,25,23,0,,0,,,,,,,,,,,
1970,LAK,1969-10-25,H,Boston Bruins,2,3,L,,28,12,2,,0,35,26,1,,0,,,,,,,,,,,
1974,LAK,1973-10-10,H,Chicago Black Hawks,0,3,L,,25,6,0,,0,29,4,0,,0,,,,,,,,,,,
1969,LAK,1968-10-20,A,New York Rangers,0,7,L,,26,8,0,,0,45,6,1,,0,,,,,,,,,,,
1969,LAK,1968-10-23,H,Montreal Canadiens,2,5,L,,30,4,0,,0,27,7,2,,0,,,,,,,,,,,
1973,LAK,1972-10-07,A,Pittsburgh Penguins,2,4,L,,29,6,1,,0,49,6,0,,0,,,,,,,,,,,
1976,LAK,1975-10-08,A,Montreal Canadiens,0,9,L,,28,20,0,,0,48,24,2,,0,,,,,,,,,,,
1972,LAK,1971-10-16,H,Philadelphia Flyers,0,1,L,,43,4,0,,0,23,10,0,,0,,,,,,,,,,,
1972,LAK,1971-10-17,A,Chicago Black Hawks,0,4,L,,24,4,0,,0,34,6,0,,0,,,,,,,,,,,
1975,LAK,1974-10-10,A,Philadelphia Flyers,5,3,W,,28,9,0,,0,37,39,0,,0,,,,,,,,,,,
1971,LAK,1970-10-21,H,Pittsburgh Penguins,4,2,W,,38,13,0,,0,27,13,1,,0,,,,,,,,,,,
1968,LAK,1967-11-07,H,Oakland Seals,5,4,W,,28,10,1,,0,32,4,2,,0,,,,,,,,,,,
1970,LAK,1969-10-29,H,Detroit Red Wings,2,5,L,,33,6,1,,0,34,8,2,,0,,,,,,,,,,,
1974,LAK,1973-10-13,A,Toronto Maple Leafs,3,6,L,,24,11,1,,0,49,15,1,,0,,,,,,,,,,,
1969,LAK,1968-10-26,H,Philadelphia Flyers,6,2,W,,41,11,0,,0,21,13,0,,0,,,,,,,,,,,
1973,LAK,1972-10-08,A,Boston Bruins,4,2,W,,28,10,1,,0,38,14,0,,0,,,,,,,,,,,
1973,LAK,1972-10-11,A,Buffalo Sabres,3,7,L,,33,8,2,,0,39,8,1,,0,,,,,,,,,,,
1976,LAK,1975-10-11,A,New York Islanders,0,7,L,,21,8,0,,0,30,12,1,,0,,,,,,,,,,,
1972,LAK,1971-10-20,A,Pittsburgh Penguins,1,8,L,,21,4,0,,0,39,6,0,,1,,,,,,,,,,,
1975,LAK,1974-10-12,A,Montreal Canadiens,4,4,T,,15,10,1,,0,31,8,2,,0,,,,,,,,,,,
1975,LAK,1974-10-13,A,Buffalo Sabres,4,1,W,,23,12,0,,0,34,10,0,,0,,,,,,,,,,,
1979,LAK,1978-10-11,H,Washington Capitals,2,4,L,,31,13,1,,0,29,23,1,,0,,,,,,,,,,,
1971,LAK,1970-10-24,H,St. Louis Blues,3,1,W,,28,16,0,,0,33,8,0,,0,,,,,,,,,,,
1968,LAK,1967-11-09,H,Toronto Maple Leafs,4,1,W,,31,8,0,,0,38,6,0,,0,,,,,,,,,,,
1968,LAK,1967-11-15,A,Oakland Seals,1,4,L,,19,20,0,,0,26,10,0,,0,,,,,,,,,,,
1970,LAK,1969-11-01,H,Chicago Black Hawks,1,4,L,,31,23,0,,0,27,37,1,,0,,,,,,,,,,,
1974,LAK,1973-10-14,A,New York Rangers,1,1,T,,23,9,0,,0,29,11,0,,0,,,,,,,,,,,
1969,LAK,1968-10-30,H,Chicago Black Hawks,2,4,L,,36,6,1,,0,24,8,1,,1,,,,,,,,,,,
1977,LAK,1976-10-06,A,Cleveland Barons,2,2,T,,28,14,1,,0,29,8,0,,0,,,,,,,,,,,
1978,LAK,1977-10-12,H,Cleveland Barons,2,0,W,,28,20,0,,0,24,18,,,,,,,,,,,,,,
