year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1927,NYR,1926-11-16,H,Montreal Maroons,1,0,W,,0,17,0,,0,0,25,0,,0,,,,,,,,,,,
1927,NYR,1926-11-20,A,Toronto Maple Leafs,5,1,W,,0,14,0,,0,0,18,0,,0,,,,,,,,,,,
1927,NYR,1926-11-25,A,Pittsburgh Pirates,0,2,L,,0,6,0,,0,0,4,0,,0,,,,,,,,,,,
1928,NYR,1927-11-15,A,Toronto Maple Leafs,4,2,W,,0,12,0,,0,0,6,0,,0,,,,,,,,,,,
1929,NYR,1928-11-15,A,Detroit Cougars,2,0,W,,0,10,0,,0,0,2,0,,0,,,,,,,,,,,
1927,NYR,1926-11-27,A,Montreal Canadiens,2,0,W,,0,21,0,,0,0,15,0,,0,,,,,,,,,,,
1927,NYR,1926-11-30,H,Chicago Black Hawks,4,3,W,OT,0,8,0,,0,0,14,0,,0,,,,,,,,,,,
1928,NYR,1927-11-17,H,Ottawa Senators,3,2,W,,0,8,0,,0,0,12,0,,0,,,,,,,,,,,
1928,NYR,1927-11-20,A,New York Americans,2,1,W,,0,18,0,,0,0,18,0,,0,,,,,,,,,,,
1928,NYR,1927-11-22,H,Montreal Maroons,3,4,L,,0,9,0,,0,0,13,0,,0,,,,,,,,,,,
1929,NYR,1928-11-18,A,New York Americans,1,1,T,OT,0,12,0,,0,0,23,0,,0,,,,,,,,,,,
1929,NYR,1928-11-20,H,Montreal Maroons,0,1,L,,0,8,0,,0,0,18,0,,0,,,,,,,,,,,
1927,NYR,1926-12-04,A,Detroit Cougars,0,1,L,,0,10,0,,0,0,10,0,,0,,,,,,,,,,,
1927,NYR,1926-12-07,A,Boston Bruins,1,0,W,,0,10,0,,0,0,10,0,,0,,,,,,,,,,,
1927,NYR,1926-12-12,H,Boston Bruins,2,1,W,OT,0,16,0,,0,0,16,0,,0,,,,,,,,,,,
