year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1992,SJS,1991-10-04,A,Vancouver Canucks,3,4,L,,22,36,1,,0,52,30,2,,0,,,,,,,,,,,
1992,SJS,1991-10-05,H,Vancouver Canucks,2,5,L,,20,34,1,,0,39,24,1,,0,,,,,,,,,,,
1992,SJS,1991-10-08,H,Calgary Flames,4,3,W,,34,12,2,,0,39,18,1,,0,,,,,,,,,,,
1992,SJS,1991-10-10,H,Winnipeg Jets,4,5,L,,23,19,0,,1,30,15,2,,0,,,,,,,,,,,
1992,SJS,1991-10-12,A,St. Louis Blues,3,6,L,,27,28,1,,0,44,26,1,,0,,,,,,,,,,,
1994,SJS,1993-10-06,A,Edmonton Oilers,2,3,L,,27,12,2,,0,28,16,1,,0,,,,,,,,,,,
1992,SJS,1991-10-13,A,Chicago Blackhawks,3,7,L,,31,44,0,,0,39,72,2,,2,,,,,,,,,,,
1992,SJS,1991-10-16,A,Los Angeles Kings,5,8,L,,29,8,0,,1,40,16,1,,0,,,,,,,,,,,
1994,SJS,1993-10-07,A,Calgary Flames,2,6,L,,18,4,0,,0,24,2,1,,0,,,,,,,,,,,
1994,SJS,1993-10-10,A,Los Angeles Kings,2,5,L,,38,17,1,,0,32,17,1,,0,,,,,,,,,,,
1993,SJS,1992-10-08,H,Winnipeg Jets,4,3,W,OT,43,38,1,,0,24,23,3,,0,,,,,,,,,,,
1995,SJS,1995-01-20,H,St. Louis Blues,2,5,L,,19,14,2,,0,22,12,0,,0,,,,,,,,,,,
1992,SJS,1991-10-17,H,Minnesota North Stars,2,8,L,,24,26,0,,1,47,12,4,,0,,,,,,,,,,,
1992,SJS,1991-10-19,H,Boston Bruins,1,4,L,,37,34,1,,0,28,23,1,,0,,,,,,,,,,,
1996,SJS,1995-10-07,H,Chicago Blackhawks,3,4,L,,20,25,1,,0,28,14,0,,0,,,,,,,,,,,
1994,SJS,1993-10-14,H,Calgary Flames,1,2,L,,13,12,0,,0,33,10,1,,0,,,,,,,,,,,
1994,SJS,1993-10-16,H,Boston Bruins,1,1,T,OT,21,6,0,,0,37,16,1,,0,,,,,,,,,,,
1993,SJS,1992-10-10,H,Detroit Red Wings,3,6,L,,29,23,0,,0,43,13,3,,0,,,,,,,,,,,
1993,SJS,1992-10-13,A,Los Angeles Kings,1,2,L,,35,36,0,,0,31,20,1,,0,,,,,,,,,,,
1993,SJS,1992-10-15,H,Boston Bruins,2,8,L,,20,15,1,,0,44,24,4,,0,,,,,,,,,,,
1995,SJS,1995-01-21,H,Toronto Maple Leafs,3,2,W,,24,13,0,,1,24,13,1,,0,,,,,,,,,,,
