year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1927,TOR,1926-11-17,A,Chicago Black Hawks,1,4,L,,0,15,0,,0,0,12,0,,0,,,,,,,,,,,
1928,TOR,1927-11-15,H,New York Rangers,2,4,L,,0,6,0,,0,0,12,0,,0,,,,,,,,,,,
1927,TOR,1926-11-20,H,New York Rangers,1,5,L,,0,18,0,,0,0,14,0,,0,,,,,,,,,,,
1927,TOR,1926-11-25,H,Ottawa Senators,2,2,T,OT,0,28,0,,0,0,34,0,,0,,,,,,,,,,,
1928,TOR,1927-11-19,H,Chicago Black Hawks,4,2,W,,0,16,0,,0,0,17,0,,0,,,,,,,,,,,
1928,TOR,1927-11-22,A,Boston Bruins,0,1,L,,0,10,0,,0,0,10,0,,0,,,,,,,,,,,
1928,TOR,1927-11-24,A,New York Americans,2,1,W,,0,19,0,,0,0,8,0,,0,,,,,,,,,,,
1929,TOR,1928-11-15,H,Chicago Black Hawks,2,0,W,,0,10,0,,0,0,12,0,,0,,,,,,,,,,,
1927,TOR,1926-11-30,H,Pittsburgh Pirates,6,0,W,,0,23,0,,0,0,27,0,,0,,,,,,,,,,,
1927,TOR,1926-12-02,A,Montreal Canadiens,0,2,L,,0,8,0,,0,0,8,0,,0,,,,,,,,,,,
1928,TOR,1927-11-26,A,Pittsburgh Pirates,2,1,W,OT,0,8,0,,0,0,2,0,,0,,,,,,,,,,,
1928,TOR,1927-12-03,H,Montreal Maroons,1,2,L,,0,11,0,,0,0,10,0,,0,,,,,,,,,,,
1929,TOR,1928-11-17,H,Montreal Canadiens,4,2,W,,0,13,0,,0,0,20,0,,0,,,,,,,,,,,
1929,TOR,1928-11-20,A,Ottawa Senators,1,4,L,,0,21,0,,0,0,8,1,,0,,,,,,,,,,,
1927,TOR,1926-12-04,H,New York Americans,0,1,L,,0,8,0,,0,0,14,0,,0,,,,,,,,,,,
1927,TOR,1926-12-09,H,Chicago Black Hawks,5,2,W,,0,12,0,,0,0,6,0,,0,,,,,,,,,,,
1928,TOR,1927-12-06,A,Ottawa Senators,0,0,T,OT,0,10,0,,0,0,10,0,,0,,,,,,,,,,,
1928,TOR,1927-12-08,A,Montreal Canadiens,1,2,L,OT,0,19,0,,0,0,14,0,,0,,,,,,,,,,,
1930,TOR,1929-11-14,H,Chicago Black Hawks,2,2,T,OT,0,12,0,,0,0,20,0,,0,,,,,,,,,,,
1931,TOR,1930-11-13,H,New York Americans,0,0,T,OT,0,22,0,,0,0,28,0,,0,,,,,,,,,,,
1929,TOR,1928-11-22,A,New York Americans,0,3,L,,0,16,0,,0,0,18,0,,0,,,,,,,,,,,
1929,TOR,1928-11-24,H,Montreal Maroons,4,1,W,,0,10,0,,0,0,12,0,,0,,,,,,,,,,,
1927,TOR,1926-12-11,A,Ottawa Senators,1,2,L,,0,20,0,,0,0,23,0,,0,,,,,,,,,,,
1927,TOR,1926-12-14,A,Montreal Maroons,0,3,L,,0,10,0,,0,0,18,0,,0,,,,,,,,,,,
1927,TOR,1926-12-18,H,Montreal Canadiens,0,2,L,,0,12,0,,0,0,12,0,,0,,,,,,,,,,,
1928,TOR,1927-12-10,H,Ottawa Senators,0,0,T,OT,0,14,0,,0,0,14,0,,0,,,,,,,,,,,
1928,TOR,1927-12-14,A,Chicago Black Hawks,4,2,W,,0,8,0,,0,0,8,0,,0,,,,,,,,,,,
1930,TOR,1929-11-16,H,Boston Bruins,5,6,L,,0,18,0,,0,0,18,2,,0,,,,,,,,,,,
1930,TOR,1929-11-19,A,Pittsburgh Pirates,5,10,L,,0,22,0,,0,0,12,0,,0,,,,,,,,,,,
1931,TOR,1930-11-15,H,Philadelphia Quakers,4,0,W,,0,25,0,,0,0,23,0,,0,,,,,,,,,,,
1931,TOR,1930-11-18,A,Montreal Maroons,3,0,W,,0,24,0,,0,0,8,0,,0,,,,,,,,,,,
1929,TOR,1928-11-27,A,Montreal Maroons,0,4,L,,0,22,0,,0,0,14,0,,0,,,,,,,,,,,
1929,TOR,1928-12-01,H,New York Americans,3,0,W,,0,12,0,,0,0,10,0,,0,,,,,,,,,,,
1929,TOR,1928-12-04,A,Montreal Canadiens,3,1,W,,0,8,0,,0,0,6,0,,0,,,,,,,,,,,
1927,TOR,1926-12-20,A,New York Americans,0,2,L,,0,18,0,,0,0,15,0,,0,,,,,,,,,,,
1927,TOR,1926-12-21,A,Boston Bruins,5,3,W,,0,14,0,,0,0,10,0,,0,,,,,,,,,,,
1928,TOR,1927-12-17,H,Detroit Cougars,0,1,L,OT,0,14,0,,0,0,16,0,,0,,,,,,,,,,,
1928,TOR,1927-12-20,H,New York Americans,5,2,W,,0,12,0,,0,0,10,0,,0,,,,,,,,,,,
1933,TOR,1932-11-10,H,Boston Bruins,1,1,T,OT,0,34,0,,0,0,22,0,,0,,,,,,,,,,,
1930,TOR,1929-11-21,A,Montreal Canadiens,2,3,L,OT,0,20,0,,0,0,10,0,,0,,,,,,,,,,,
1930,TOR,1929-11-23,H,Ottawa Senators,2,6,L,,0,10,0,,0,0,14,0,,0,,,,,,,,,,,
1932,TOR,1931-11-12,H,Chicago Black Hawks,1,2,L,,0,19,0,,0,0,22,0,,0,,,,,,,,,,,
1931,TOR,1930-11-20,A,New York Americans,0,0,T,OT,0,10,0,,0,0,12,0,,0,,,,,,,,,,,
1931,TOR,1930-11-22,H,Ottawa Senators,2,0,W,,0,8,0,,0,0,6,0,,0,,,,,,,,,,,
1929,TOR,1928-12-08,H,Ottawa Senators,1,2,L,OT,0,8,0,,0,0,14,0,,0,,,,,,,,,,,
1929,TOR,1928-12-11,A,New York Rangers,2,3,L,,0,8,0,,0,0,2,0,,0,,,,,,,,,,,
1927,TOR,1926-12-25,A,Pittsburgh Pirates,2,3,L,,0,4,0,,0,0,4,0,,0,,,,,,,,,,,
1927,TOR,1926-12-30,H,Boston Bruins,4,1,W,,0,31,0,,0,0,24,0,,0,,,,,,,,,,,
1928,TOR,1927-12-22,H,Pittsburgh Pirates,2,3,L,OT,0,8,0,,0,0,12,0,,0,,,,,,,,,,,
1928,TOR,1927-12-24,A,Ottawa Senators,1,1,T,OT,0,6,0,,0,0,4,0,,0,,,,,,,,,,,
1933,TOR,1932-11-12,H,New York Rangers,4,2,W,,0,16,0,,0,0,36,0,,0,,,,,,,,,,,
1933,TOR,1932-11-17,A,Chicago Black Hawks,1,3,L,,0,12,0,,0,0,8,0,,0,,,,,,,,,,,
1930,TOR,1929-11-26,A,New York Rangers,4,3,W,,0,28,0,,0,0,22,0,,0,,,,,,,,,,,
1930,TOR,1929-11-30,H,Detroit Cougars,1,0,W,,0,14,0,,0,0,14,0,,0,,,,,,,,,,,
1932,TOR,1931-11-14,H,Montreal Canadiens,1,1,T,OT,0,18,0,,0,0,16,0,,0,,,,,,,,,,,
1932,TOR,1931-11-18,A,Chicago Black Hawks,1,1,T,OT,0,25,0,,0,0,14,0,,0,,,,,,,,,,,
1931,TOR,1930-11-25,A,Philadelphia Quakers,1,2,L,,0,12,0,,0,0,12,0,,0,,,,,,,,,,,
1931,TOR,1930-11-29,H,Detroit Falcons,4,2,W,,0,6,0,,0,0,22,0,,0,,,,,,,,,,,
1934,TOR,1933-11-09,H,Boston Bruins,6,1,W,,0,15,1,,0,0,11,0,,0,,,,,,,,,,,
1929,TOR,1928-12-15,H,Boston Bruins,2,0,W,,0,8,0,,0,0,6,0,,0,,,,,,,,,,,
1929,TOR,1928-12-20,A,Montreal Maroons,3,6,L,,0,14,0,,0,0,14,0,,0,,,,,,,,,,,
1927,TOR,1927-01-01,H,Montreal Maroons,0,3,L,,0,19,0,,0,0,17,0,,0,,,,,,,,,,,
1927,TOR,1927-01-04,A,Detroit Cougars,2,1,W,,0,6,0,,0,0,10,0,,0,,,,,,,,,,,
1928,TOR,1927-12-29,H,Boston Bruins,2,1,W,,0,8,0,,0,0,6,0,,0,,,,,,,,,,,
1928,TOR,1928-01-02,A,Chicago Black Hawks,4,1,W,,0,12,0,,0,0,4,0,,0,,,,,,,,,,,
1933,TOR,1932-11-20,A,New York Rangers,0,7,L,,0,16,0,,0,0,12,2,,0,,,,,,,,,,,
1933,TOR,1932-11-24,H,Montreal Canadiens,2,0,W,,0,12,0,,0,0,10,0,,0,,,,,,,,,,,
1930,TOR,1929-12-03,H,New York Americans,6,0,W,,0,13,0,,0,0,8,0,,0,,,,,,,,,,,
1930,TOR,1929-12-05,A,Ottawa Senators,2,9,L,,0,23,0,,0,0,21,0,,0,,,,,,,,,,,
1935,TOR,1934-11-08,H,Boston Bruins,5,3,W,,0,8,2,,0,0,11,1,,0,,,,,,,,,,,
1932,TOR,1931-11-21,H,New York Rangers,3,5,L,,0,4,0,,0,0,8,0,,0,,,,,,,,,,,
1932,TOR,1931-11-26,A,Montreal Canadiens,2,3,L,,0,16,0,,0,0,19,0,,0,,,,,,,,,,,
1931,TOR,1930-12-02,A,Boston Bruins,2,3,L,,0,14,0,,0,0,12,0,,0,,,,,,,,,,,
1931,TOR,1930-12-06,H,New York Rangers,4,2,W,,0,12,0,,0,0,14,0,,0,,,,,,,,,,,
1934,TOR,1933-11-11,H,New York Rangers,4,3,W,,0,18,2,,0,0,16,3,,0,,,,,,,,,,,
1934,TOR,1933-11-18,H,Ottawa Senators,4,1,W,,0,30,0,,0,0,12,0,,0,,,,,,,,,,,
1929,TOR,1928-12-22,H,Pittsburgh Pirates,2,3,L,,0,10,0,,0,0,8,0,,0,,,,,,,,,,,
1929,TOR,1928-12-25,H,Montreal Maroons,4,1,W,,0,18,0,,0,0,28,0,,0,,,,,,,,,,,
1927,TOR,1927-01-08,H,New York Americans,3,1,W,,0,18,0,,0,0,20,0,,0,,,,,,,,,,,
1927,TOR,1927-01-11,A,Ottawa Senators,1,4,L,,0,8,0,,0,0,10,0,,0,,,,,,,,,,,
1928,TOR,1928-01-05,A,Montreal Maroons,1,2,L,,0,14,0,,0,0,6,0,,0,,,,,,,,,,,
1928,TOR,1928-01-07,H,Montreal Canadiens,1,9,L,,0,13,0,,0,0,8,0,,0,,,,,,,,,,,
1933,TOR,1932-11-26,H,Montreal Maroons,3,2,W,,0,18,0,,0,0,14,0,,0,,,,,,,,,,,
1933,TOR,1932-11-27,A,Detroit Red Wings,2,1,W,,0,16,0,,0,0,10,1,,0,,,,,,,,,,,
1930,TOR,1929-12-07,H,Montreal Canadiens,0,1,L,,0,24,0,,0,0,24,0,,0,,,,,,,,,,,
1930,TOR,1929-12-10,A,New York Americans,0,1,L,,0,4,0,,0,0,8,0,,0,,,,,,,,,,,
1935,TOR,1934-11-10,H,Montreal Canadiens,2,1,W,OT,0,12,0,,0,0,6,0,,0,,,,,,,,,,,
1932,TOR,1931-11-28,H,Boston Bruins,6,5,W,OT,0,8,0,,0,0,10,0,,0,,,,,,,,,,,
1932,TOR,1931-12-01,H,New York Americans,2,2,T,OT,0,8,0,,0,0,14,0,,0,,,,,,,,,,,
1936,TOR,1935-11-09,H,New York Americans,5,5,T,OT,0,4,2,,0,0,8,1,,0,,,,,,,,,,,
1931,TOR,1930-12-09,A,Montreal Canadiens,1,2,L,,0,14,0,,0,0,14,1,,0,,,,,,,,,,,
