year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1973,VAN,1972-10-07,H,California Golden Seals,3,2,W,,31,10,1,,0,32,6,1,,0,,,,,,,,,,,
1973,VAN,1972-10-11,A,New York Rangers,3,5,L,,23,2,0,,0,32,4,1,,0,,,,,,,,,,,
1973,VAN,1972-10-12,A,Philadelphia Flyers,3,7,L,,27,11,1,,0,29,17,1,,0,,,,,,,,,,,
1972,VAN,1971-10-08,H,Toronto Maple Leafs,2,3,L,,21,4,0,,0,20,6,1,,0,,,,,,,,,,,
1971,VAN,1970-10-09,H,Los Angeles Kings,1,3,L,,26,28,0,,0,36,22,1,,0,,,,,,,,,,,
1974,VAN,1973-10-10,A,Boston Bruins,4,6,L,,32,10,2,,0,36,14,0,,0,,,,,,,,,,,
1973,VAN,1972-10-14,A,Minnesota North Stars,3,3,T,,25,28,1,,0,25,10,0,,0,,,,,,,,,,,
1973,VAN,1972-10-17,H,Chicago Black Hawks,6,3,W,,28,18,2,,0,30,14,1,,0,,,,,,,,,,,
1972,VAN,1971-10-10,H,Los Angeles Kings,3,4,L,,34,16,0,,0,21,14,0,,0,,,,,,,,,,,
1972,VAN,1971-10-12,H,Philadelphia Flyers,3,2,W,,34,8,0,,0,19,8,1,,1,,,,,,,,,,,
1971,VAN,1970-10-11,H,Toronto Maple Leafs,5,3,W,,34,13,0,,1,19,15,1,,0,,,,,,,,,,,
1971,VAN,1970-10-12,A,St. Louis Blues,1,4,L,,27,27,0,,0,40,17,1,,0,,,,,,,,,,,
1974,VAN,1973-10-13,A,Montreal Canadiens,3,4,L,,32,26,2,,0,41,8,2,,0,,,,,,,,,,,
1974,VAN,1973-10-14,A,Buffalo Sabres,3,1,W,,24,10,0,,0,28,8,1,,0,,,,,,,,,,,
1973,VAN,1972-10-19,A,Buffalo Sabres,0,6,L,,32,13,0,,0,26,17,1,,0,,,,,,,,,,,
1973,VAN,1972-10-21,A,Montreal Canadiens,3,5,L,,24,4,0,,0,32,10,0,,0,,,,,,,,,,,
1972,VAN,1971-10-15,A,California Golden Seals,9,6,W,,21,18,1,,0,34,24,2,,1,,,,,,,,,,,
1972,VAN,1971-10-16,H,Pittsburgh Penguins,1,2,L,,16,8,1,,0,21,12,0,,0,,,,,,,,,,,
1975,VAN,1974-10-09,H,Atlanta Flames,3,3,T,,33,15,1,,0,21,17,2,,0,,,,,,,,,,,
1971,VAN,1970-10-14,A,Chicago Black Hawks,2,8,L,,20,17,0,,0,40,11,1,,0,,,,,,,,,,,
1971,VAN,1970-10-15,A,Philadelphia Flyers,4,5,L,,30,24,2,,0,32,26,3,,0,,,,,,,,,,,
1974,VAN,1973-10-17,A,Chicago Black Hawks,0,5,L,,23,28,0,,0,39,4,1,,0,,,,,,,,,,,
1974,VAN,1973-10-19,H,Philadelphia Flyers,2,1,W,,36,22,1,,0,32,22,0,,0,,,,,,,,,,,
1976,VAN,1975-10-08,A,Minnesota North Stars,3,2,W,,30,16,0,,0,27,16,1,,0,,,,,,,,,,,
1977,VAN,1976-10-06,A,Pittsburgh Penguins,5,9,L,,32,12,3,,0,43,10,2,,0,,,,,,,,,,,
1973,VAN,1972-10-22,A,Boston Bruins,5,4,W,,25,13,0,,0,24,11,1,,0,,,,,,,,,,,
1973,VAN,1972-10-24,H,Pittsburgh Penguins,0,4,L,,23,12,0,,0,29,14,1,,0,,,,,,,,,,,
1972,VAN,1971-10-19,A,St. Louis Blues,3,1,W,,31,14,1,,0,36,14,0,,0,,,,,,,,,,,
1972,VAN,1971-10-20,A,Minnesota North Stars,0,7,L,,24,22,0,,0,57,12,4,,0,,,,,,,,,,,
1978,VAN,1977-10-12,A,New York Rangers,3,6,L,,22,17,3,,0,32,25,1,,0,,,,,,,,,,,
1975,VAN,1974-10-12,H,St. Louis Blues,3,5,L,,33,8,2,,0,28,10,3,,0,,,,,,,,,,,
1975,VAN,1974-10-15,A,St. Louis Blues,6,4,W,,26,29,4,,0,24,23,0,,1,,,,,,,,,,,
1979,VAN,1978-10-11,H,Colorado Rockies,8,2,W,,32,16,2,,0,36,14,1,,0,,,,,,,,,,,
1971,VAN,1970-10-18,H,Boston Bruins,3,5,L,,39,10,2,,0,40,16,0,,0,,,,,,,,,,,
1971,VAN,1970-10-20,H,California Golden Seals,2,1,W,,30,14,1,,0,35,10,0,,0,,,,,,,,,,,
1974,VAN,1973-10-23,H,Atlanta Flames,3,0,W,,27,16,0,,0,26,10,,,,,,,,,,,,,,
1974,VAN,1973-10-26,H,Detroit Red Wings,8,3,W,,35,6,2,,0,31,8,1,,0,,,,,,,,,,,
1976,VAN,1975-10-11,A,Kansas City Scouts,2,4,L,,30,55,0,,0,37,25,3,,0,,,,,,,,,,,
1976,VAN,1975-10-12,A,Chicago Black Hawks,0,3,L,,23,12,0,,0,23,14,1,,0,,,,,,,,,,,
1977,VAN,1976-10-09,A,Montreal Canadiens,0,3,L,,24,20,0,,0,47,22,0,,0,,,,,,,,,,,
1977,VAN,1976-10-10,A,Chicago Black Hawks,1,5,L,,25,11,0,,0,41,27,1,,0,,,,,,,,,,,
1973,VAN,1972-10-28,H,Atlanta Flames,1,2,L,,29,8,0,,0,23,9,1,,0,,,,,,,,,,,
1973,VAN,1972-10-31,A,Los Angeles Kings,1,4,L,,17,35,0,,0,36,27,0,,0,,,,,,,,,,,
1972,VAN,1971-10-22,H,Montreal Canadiens,0,6,L,,28,20,0,,0,31,8,1,,1,,,,,,,,,,,
1972,VAN,1971-10-24,H,Boston Bruins,3,4,L,,28,6,0,,0,31,10,1,,0,,,,,,,,,,,
1982,VAN,1981-10-06,H,Colorado Rockies,4,2,W,,38,10,1,,0,25,8,1,,0,,,,,,,,,,,
1980,VAN,1979-10-09,H,St. Louis Blues,2,5,L,,25,40,0,,0,22,38,1,,1,,,,,,,,,,,
1981,VAN,1980-10-10,H,Detroit Red Wings,5,3,W,,28,6,1,,0,27,8,1,,0,,,,,,,,,,,
1978,VAN,1977-10-14,A,Colorado Rockies,4,4,T,,20,19,2,,0,39,19,2,,0,,,,,,,,,,,
1978,VAN,1977-10-15,A,Minnesota North Stars,5,3,W,,23,10,1,,0,27,8,1,,0,,,,,,,,,,,
1978,VAN,1977-10-18,H,Detroit Red Wings,3,2,W,,25,14,1,,0,27,18,2,,0,,,,,,,,,,,
1975,VAN,1974-10-16,A,Minnesota North Stars,1,1,T,,43,10,0,,0,20,12,0,,0,,,,,,,,,,,
1975,VAN,1974-10-19,A,Toronto Maple Leafs,5,4,W,,37,8,0,,0,35,10,2,,0,,,,,,,,,,,
1979,VAN,1978-10-13,H,St. Louis Blues,8,4,W,,36,23,3,,0,23,31,0,,0,,,,,,,,,,,
1979,VAN,1978-10-15,A,Chicago Black Hawks,3,3,T,,23,13,1,,0,30,13,0,,0,,,,,,,,,,,
1971,VAN,1970-10-23,H,St. Louis Blues,1,1,T,,29,10,1,,0,29,10,1,,0,,,,,,,,,,,
1971,VAN,1970-10-25,H,Pittsburgh Penguins,1,1,T,,24,12,1,,0,27,24,0,,0,,,,,,,,,,,
1974,VAN,1973-10-30,H,New York Rangers,3,3,T,,37,4,0,,0,33,6,1,,0,,,,,,,,,,,
1974,VAN,1973-11-02,H,St. Louis Blues,1,3,L,,27,2,1,,0,22,8,0,,0,,,,,,,,,,,
1976,VAN,1975-10-14,H,Washington Capitals,7,2,W,,46,26,2,,0,22,19,2,,0,,,,,,,,,,,
1976,VAN,1975-10-17,H,Los Angeles Kings,3,5,L,,21,32,1,,0,29,25,2,,0,,,,,,,,,,,
1977,VAN,1976-10-13,H,Washington Capitals,4,1,W,,37,10,1,,0,21,12,0,,0,,,,,,,,,,,
1977,VAN,1976-10-16,H,St. Louis Blues,3,6,L,,26,10,0,,0,32,14,1,,0,,,,,,,,,,,
1973,VAN,1972-11-03,H,New York Islanders,7,2,W,,35,25,3,,0,22,27,0,,0,,,,,,,,,,,
1973,VAN,1972-11-05,H,Boston Bruins,2,4,L,,22,8,0,,0,36,10,0,,0,,,,,,,,,,,
1972,VAN,1971-10-27,A,Toronto Maple Leafs,0,0,T,,20,10,0,,0,34,8,0,,0,,,,,,,,,,,
1972,VAN,1971-10-28,A,Philadelphia Flyers,2,3,L,,30,20,0,,0,37,17,1,,0,,,,,,,,,,,
1982,VAN,1981-10-08,A,Calgary Flames,1,1,T,,23,6,0,,0,29,24,0,,0,,,,,,,,,,,
1982,VAN,1981-10-09,H,Edmonton Oilers,6,2,W,,31,20,1,,0,27,18,1,,0,,,,,,,,,,,
1980,VAN,1979-10-12,H,Detroit Red Wings,3,1,W,,25,11,0,,0,24,13,0,,0,,,,,,,,,,,
1980,VAN,1979-10-14,A,Edmonton Oilers,4,4,T,,28,8,1,,0,32,4,1,,0,,,,,,,,,,,
1981,VAN,1980-10-12,H,Quebec Nordiques,8,2,W,,33,20,2,,0,28,26,1,,0,,,,,,,,,,,
1981,VAN,1980-10-15,A,Chicago Black Hawks,2,4,L,,24,62,1,,0,52,58,0,,1,,,,,,,,,,,
1978,VAN,1977-10-23,H,Boston Bruins,3,3,T,,20,8,0,,0,35,8,0,,0,,,,,,,,,,,
1978,VAN,1977-10-25,H,Los Angeles Kings,3,1,W,,19,33,2,,0,29,29,0,,0,,,,,,,,,,,
1975,VAN,1974-10-20,A,New York Rangers,1,0,W,,15,10,0,,0,33,6,,,,,,,,,,,,,,
1975,VAN,1974-10-22,H,Minnesota North Stars,2,3,L,,35,8,0,,0,27,8,0,,0,,,,,,,,,,,
1979,VAN,1978-10-17,A,St. Louis Blues,6,8,L,,31,19,0,,0,34,11,1,,0,,,,,,,,,,,
1979,VAN,1978-10-18,A,Minnesota North Stars,2,7,L,,26,91,1,,0,50,90,3,,0,,,,,,,,,,,
1971,VAN,1970-10-27,H,Buffalo Sabres,7,2,W,,39,13,2,,1,30,15,1,,0,,,,,,,,,,,
1971,VAN,1970-10-31,A,Montreal Canadiens,3,6,L,,28,26,2,,0,45,20,2,,0,,,,,,,,,,,
1974,VAN,1973-11-06,H,Buffalo Sabres,3,2,W,,20,13,0,,0,22,10,1,,0,,,,,,,,,,,
1974,VAN,1973-11-09,H,Chicago Black Hawks,0,4,L,,23,13,0,,0,23,10,1,,0,,,,,,,,,,,
1976,VAN,1975-10-19,A,New York Rangers,1,8,L,,25,10,1,,0,43,8,3,,0,,,,,,,,,,,
1976,VAN,1975-10-21,A,New York Islanders,5,5,T,,32,10,2,,0,24,14,4,,0,,,,,,,,,,,
1977,VAN,1976-10-19,A,New York Islanders,1,6,L,,31,2,0,,0,32,6,0,,1,,,,,,,,,,,
1977,VAN,1976-10-20,A,Buffalo Sabres,0,4,L,,32,6,0,,0,33,10,2,,0,,,,,,,,,,,
1973,VAN,1972-11-08,A,New York Rangers,2,5,L,,24,4,0,,0,38,6,0,,0,,,,,,,,,,,
1973,VAN,1972-11-11,A,Pittsburgh Penguins,4,3,W,,27,6,1,,0,41,4,1,,0,,,,,,,,,,,
1984,VAN,1983-10-05,H,Calgary Flames,3,5,L,,25,9,1,,0,28,9,0,,0,,,,,,,,,,,
1985,VAN,1984-10-11,H,Quebec Nordiques,2,5,L,,36,4,0,,0,35,4,2,,0,,,,,,,,,,,
1972,VAN,1971-10-30,H,Buffalo Sabres,4,4,T,,37,31,1,,0,16,23,2,,0,,,,,,,,,,,
1972,VAN,1971-10-31,H,Chicago Black Hawks,6,2,W,,32,17,0,,1,27,16,1,,0,,,,,,,,,,,
1986,VAN,1985-10-10,A,Los Angeles Kings,6,5,W,,34,21,2,,0,37,15,0,,0,,,,,,,,,,,
1982,VAN,1981-10-11,A,Buffalo Sabres,2,2,T,,22,8,0,,0,22,12,0,,0,,,,,,,,,,,
1980,VAN,1979-10-17,A,St. Louis Blues,5,1,W,,29,27,2,,0,37,15,1,,0,,,,,,,,,,,
1981,VAN,1980-10-16,A,Philadelphia Flyers,5,2,W,,40,6,0,,0,38,8,1,,0,,,,,,,,,,,
1981,VAN,1980-10-18,A,Montreal Canadiens,1,4,L,,30,8,0,,0,35,8,1,,0,,,,,,,,,,,
1978,VAN,1977-10-27,H,New York Islanders,2,3,L,,39,9,1,,0,28,11,0,,0,,,,,,,,,,,
1978,VAN,1977-10-29,H,Colorado Rockies,2,6,L,,33,10,1,,0,20,10,3,,0,,,,,,,,,,,
1975,VAN,1974-10-25,H,Kansas City Scouts,5,3,W,,44,10,1,,0,24,4,1,,0,,,,,,,,,,,
1975,VAN,1974-10-26,H,Philadelphia Flyers,2,3,L,,17,12,1,,0,25,16,0,,0,,,,,,,,,,,
1979,VAN,1978-10-20,H,Boston Bruins,1,5,L,,23,22,0,,0,25,26,0,,0,,,,,,,,,,,
1979,VAN,1978-10-22,H,Buffalo Sabres,3,2,W,,19,4,0,,0,28,6,0,,0,,,,,,,,,,,
1971,VAN,1970-11-04,A,Pittsburgh Penguins,3,8,L,,35,40,1,,0,34,32,3,,1,,,,,,,,,,,
