year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
2018,VEG,2017-10-06,A,Dallas Stars,2,1,W,,30,10,0,7,0,46,16,1,4,0,36,62,36.7,25,46,35.2,19,26,42.2,40.9,110.0
2018,VEG,2017-10-07,A,Arizona Coyotes,2,1,W,OT,42,6,0,4,0,28,8,0,3,0,63,49,56.3,45,34,57.0,28,18,60.9,57.3,102.7
2018,VEG,2017-10-10,H,Arizona Coyotes,5,2,W,,28,6,1,3,0,33,6,0,3,0,45,48,48.4,32,36,47.1,40,18,69.0,47.7,108.6
2018,VEG,2017-10-13,H,Detroit Red Wings,3,6,L,,27,9,0,3,0,27,13,0,1,0,47,46,50.5,38,36,51.4,21,29,42.0,41.9,89.3
2019,VEG,2018-10-04,H,Philadelphia Flyers,2,5,L,,25,10,0,3,1,25,8,1,4,0,39,31,55.7,27,24,52.9,22,22,50.0,80.8,84.5
2018,VEG,2017-10-15,H,Boston Bruins,3,1,W,,26,4,0,4,0,22,10,0,3,0,45,41,52.3,34,32,51.5,33,11,75.0,44.4,110.0
2019,VEG,2018-10-06,A,Minnesota Wild,2,1,W,SO,42,9,0,3,0,30,11,0,2,0,70,41,63.1,53,38,58.2,33,27,55.0,38.9,98.9
2018,VEG,2017-10-17,H,Buffalo Sabres,5,4,W,OT,31,10,1,5,0,34,8,3,5,0,40,52,43.5,29,38,43.3,24,22,52.2,42.7,113.6
2018,VEG,2017-10-21,H,St. Louis Blues,3,2,W,OT,22,10,2,3,0,49,6,0,4,0,36,65,35.6,29,50,36.7,25,30,45.5,39.8,100.8
2019,VEG,2018-10-08,A,Buffalo Sabres,2,4,L,,37,4,0,2,0,17,4,1,2,0,56,33,62.9,43,27,61.4,23,16,59.0,75.0,86.7
2018,VEG,2017-10-24,H,Chicago Blackhawks,4,2,W,,33,6,1,5,0,31,10,0,3,1,45,48,48.4,31,32,49.2,27,25,51.9,42.4,105.1
