year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
2012,WPG,2011-10-09,H,Montreal Canadiens,1,5,L,,31,10,0,,0,22,16,1,,0,46,30,60.5,34,25,57.6,21,21,50.0,77.5,80.6
2012,WPG,2011-10-13,A,Chicago Blackhawks,3,4,L,,30,6,0,,0,32,4,1,,0,46,43,51.7,37,33,52.9,16,32,33.3,51.7,102.7
2012,WPG,2011-10-15,A,Phoenix Coyotes,1,4,L,,19,10,0,,0,34,6,1,,0,33,44,42.9,23,35,39.7,12,21,36.4,46.7,94.6
2015,WPG,2014-10-09,A,Arizona Coyotes,6,2,W,,27,17,0,,1,28,21,0,,0,24,46,34.3,19,34,35.8,16,23,41.0,32.4,127.0
2014,WPG,2013-10-01,A,Edmonton Oilers,5,4,W,,28,15,1,,0,38,15,2,,0,42,49,46.2,33,31,51.6,28,29,49.1,38.9,109.8
2012,WPG,2011-10-17,H,Pittsburgh Penguins,2,1,W,,34,18,0,,0,29,22,0,,0,47,45,51.1,42,35,54.5,21,21,50.0,54.8,103.3
2012,WPG,2011-10-19,A,Toronto Maple Leafs,3,4,L,SO,29,8,2,,0,23,8,2,,0,44,43,50.6,34,28,54.8,17,25,40.5,50.0,98.8
2013,WPG,2013-01-19,H,Ottawa Senators,1,4,L,,28,6,1,,0,37,14,1,,0,50,53,48.5,38,43,46.9,25,21,54.3,36.2,90.3
2015,WPG,2014-10-11,A,San Jose Sharks,0,3,L,,30,28,0,,0,26,6,0,,0,42,36,53.8,29,29,50.0,18,16,52.9,40.0,84.2
2015,WPG,2014-10-12,A,Los Angeles Kings,1,4,L,,30,30,0,,0,31,18,0,,0,40,47,46.0,36,39,48.0,27,26,50.9,60.2,89.7
2014,WPG,2013-10-04,H,Los Angeles Kings,5,3,W,,33,15,1,,0,36,17,2,,0,41,50,45.1,32,37,46.4,15,30,33.3,38.1,113.7
2012,WPG,2011-10-20,A,Ottawa Senators,1,4,L,,36,10,0,,0,30,10,1,,0,52,37,58.4,43,23,65.2,22,24,47.8,73.7,87.7
2012,WPG,2011-10-22,H,Carolina Hurricanes,5,3,W,,24,14,2,,0,24,14,0,,0,32,23,58.2,24,22,52.2,21,16,56.8,29.3,101.6
2013,WPG,2013-01-21,A,Boston Bruins,1,2,L,SO,27,4,0,,0,27,8,0,,0,54,52,50.9,36,37,49.3,25,29,46.3,52.5,99.8
2016,WPG,2015-10-08,A,Boston Bruins,6,2,W,,32,6,0,0,0,31,2,0,2,0,49,53,48.0,40,43,48.2,28,25,52.8,42.9,111.4
2015,WPG,2014-10-17,H,Nashville Predators,0,2,L,,31,12,0,,0,27,10,0,,0,38,42,47.5,27,31,46.6,20,17,54.1,67.9,90.5
2014,WPG,2013-10-06,H,Anaheim Ducks,2,3,L,,17,8,1,,0,34,6,0,,0,34,49,41.0,22,39,36.1,20,25,44.4,28.0,96.3
2018,WPG,2017-10-04,H,Toronto Maple Leafs,2,7,L,,37,8,0,8,0,31,14,2,4,0,38,37,50.7,24,24,50.0,19,24,44.2,57.1,81.7
2012,WPG,2011-10-24,H,New York Rangers,1,2,L,,28,15,0,,0,17,7,2,,0,52,29,64.2,39,23,62.9,26,19,57.8,50.3,103.8
2012,WPG,2011-10-27,A,Philadelphia Flyers,9,8,W,,25,12,2,,0,48,12,1,,0,32,61,34.4,22,49,31.0,30,20,60.0,27.7,112.7
2017,WPG,2016-10-13,H,Carolina Hurricanes,5,4,W,OT,26,10,1,5,1,27,12,2,4,0,35,43,44.9,28,36,43.8,15,25,37.5,30.9,104.1
2013,WPG,2013-01-22,A,Washington Capitals,4,2,W,,39,18,2,,0,34,28,1,,0,47,49,49.0,38,33,53.5,21,19,52.5,57.4,102.6
2019,WPG,2018-10-04,A,St. Louis Blues,5,1,W,,25,8,1,2,1,42,4,0,4,0,41,49,45.6,28,41,40.6,22,32,40.7,48.6,111.7
2016,WPG,2015-10-09,A,New Jersey Devils,3,1,W,,30,8,1,4,0,21,8,1,4,0,33,24,57.9,29,22,56.9,17,25,40.5,42.6,108.7
2016,WPG,2015-10-12,A,New York Islanders,2,4,L,,24,16,1,3,0,44,10,2,6,0,39,47,45.3,25,36,41.0,21,31,40.4,53.8,98.5
2015,WPG,2014-10-19,H,Calgary Flames,1,4,L,,35,6,0,,0,29,6,1,,0,58,39,59.8,40,34,54.1,31,23,57.4,60.6,91.3
2015,WPG,2014-10-21,H,Carolina Hurricanes,3,1,W,,26,10,0,,0,22,10,1,,0,36,34,51.4,29,25,53.7,22,21,51.2,51.9,117.6
2014,WPG,2013-10-10,A,Minnesota Wild,1,2,L,,15,16,1,,0,30,14,0,,0,28,47,37.3,21,37,36.2,10,28,26.3,38.7,92.3
2018,WPG,2017-10-07,A,Calgary Flames,3,6,L,,28,12,1,3,1,45,6,2,6,0,36,54,40.0,26,40,39.4,26,22,54.2,43.3,93.4
2012,WPG,2011-10-29,A,Tampa Bay Lightning,0,1,L,,28,8,0,,0,27,4,1,,0,46,42,52.3,32,29,52.5,22,22,50.0,62.5,100.0
2017,WPG,2016-10-15,A,Minnesota Wild,3,4,L,,17,15,0,3,0,31,13,1,4,0,33,42,44.0,19,36,34.5,22,28,44.0,35.1,108.0
2017,WPG,2016-10-17,H,Boston Bruins,1,4,L,,35,8,0,5,0,25,10,0,4,0,38,37,50.7,25,29,46.3,19,30,38.8,53.4,84.2
2013,WPG,2013-01-25,H,Pittsburgh Penguins,4,2,W,,32,2,1,,0,35,4,0,,0,51,70,42.1,42,53,44.2,26,21,55.3,48.2,103.8
2013,WPG,2013-01-27,H,New York Islanders,5,4,W,OT,35,10,1,,0,25,14,1,,0,66,62,51.6,53,45,54.1,32,20,61.5,50.5,99.3
2019,WPG,2018-10-06,A,Dallas Stars,1,5,L,,33,17,0,3,0,35,13,3,5,0,49,43,53.3,36,24,60.0,21,30,41.2,70.6,92.6
2016,WPG,2015-10-13,A,New York Rangers,4,1,W,,29,12,2,5,1,41,12,0,5,0,36,44,45.0,27,36,42.9,18,21,46.2,39.7,101.2
2016,WPG,2015-10-16,H,Calgary Flames,3,1,W,,30,4,0,4,0,20,8,0,2,0,47,34,58.0,33,25,56.9,27,23,54.0,68.6,105.6
2015,WPG,2014-10-24,H,Tampa Bay Lightning,2,4,L,,42,13,1,,0,27,15,1,,0,43,43,50.0,34,33,50.7,18,21,46.2,45.8,92.0
2014,WPG,2013-10-11,H,Dallas Stars,1,4,L,,44,8,1,,0,31,12,2,,0,57,38,60.0,42,31,57.5,32,20,61.5,65.1,91.7
2018,WPG,2017-10-09,A,Edmonton Oilers,5,2,W,,43,4,1,4,0,39,8,0,2,0,57,57,50.0,41,41,50.0,34,22,60.7,47.2,104.1
2012,WPG,2011-10-31,A,Florida Panthers,4,3,W,SO,31,17,1,,0,42,9,1,,0,40,52,43.5,33,38,46.5,16,28,36.4,66.3,100.9
2017,WPG,2016-10-19,H,Toronto Maple Leafs,5,4,W,OT,34,4,1,3,0,40,6,2,2,0,71,58,55.0,45,42,51.7,30,26,53.6,58.0,108.4
2013,WPG,2013-01-29,A,Montreal Canadiens,3,4,L,,21,17,1,,0,26,19,2,,0,28,38,42.4,16,30,34.8,29,21,58.0,43.5,110.0
2013,WPG,2013-01-31,A,Florida Panthers,3,6,L,,25,31,0,,0,34,15,3,,0,41,42,49.4,38,30,55.9,19,24,44.2,48.2,99.5
2019,WPG,2018-10-09,H,Los Angeles Kings,2,1,W,,39,4,1,3,0,17,6,0,2,0,56,33,62.9,39,21,65.0,27,17,61.4,71.4,95.0
2016,WPG,2015-10-18,H,St. Louis Blues,2,4,L,,29,16,2,7,0,41,20,1,6,0,28,36,43.8,23,33,41.1,21,23,47.7,47.5,88.9
2016,WPG,2015-10-23,H,Tampa Bay Lightning,3,4,L,OT,36,8,0,1,1,31,6,0,2,0,64,49,56.6,52,35,59.8,30,28,51.7,64.2,91.8
2015,WPG,2014-10-26,H,Colorado Avalanche,2,1,W,OT,28,10,0,,0,23,10,1,,0,70,35,66.7,41,21,66.1,25,19,56.8,50.2,108.3
2015,WPG,2014-10-28,A,New York Islanders,4,3,W,,30,16,2,,0,21,23,2,,0,39,37,51.3,30,30,50.0,19,26,42.2,45.8,101.7
2014,WPG,2013-10-13,H,New Jersey Devils,3,0,W,,35,12,0,,0,24,8,,,,38,47,44.7,32,31,50.8,22,23,48.9,42.9,112.0
2014,WPG,2013-10-15,H,Montreal Canadiens,0,3,L,,36,17,0,,0,25,13,1,,0,67,38,63.8,46,32,59.0,25,33,43.1,65.1,89.5
2018,WPG,2017-10-12,A,Vancouver Canucks,4,2,W,,20,10,0,2,1,32,4,1,5,0,29,36,44.6,22,26,45.8,22,27,44.9,20.5,113.8
2012,WPG,2011-11-03,A,New York Islanders,3,0,W,,26,11,0,,0,34,5,,,,46,53,46.5,37,40,48.1,20,25,44.4,43.8,112.0
2017,WPG,2016-10-23,H,Edmonton Oilers,0,3,L,,31,4,0,4,0,32,8,0,2,1,38,37,50.7,31,30,50.8,21,25,45.7,42.9,92.0
2017,WPG,2016-10-25,A,Dallas Stars,2,3,L,,30,14,1,4,0,26,10,1,6,0,52,31,62.7,36,20,64.3,23,27,46.0,57.0,91.7
2013,WPG,2013-02-01,A,Tampa Bay Lightning,3,8,L,,29,25,2,,0,25,8,3,,0,43,26,62.3,32,21,60.4,23,32,41.8,56.4,77.0
2019,WPG,2018-10-11,A,Nashville Predators,0,3,L,,29,60,0,2,0,30,16,0,9,0,33,30,52.4,28,26,51.9,18,17,51.4,52.9,84.2
2019,WPG,2018-10-14,H,Carolina Hurricanes,3,1,W,,26,4,1,2,0,43,4,0,2,0,44,70,38.6,32,50,39.0,38,22,63.3,40.2,105.5
2016,WPG,2015-10-25,H,Minnesota Wild,5,4,W,,33,10,0,1,0,30,2,1,5,0,47,33,58.8,36,26,58.1,30,22,57.7,53.3,102.4
2015,WPG,2014-10-30,A,New Jersey Devils,1,2,L,SO,25,2,0,,0,28,4,0,,0,35,46,43.2,29,33,46.8,23,30,43.4,40.9,100.5
2015,WPG,2014-11-01,A,New York Rangers,1,0,W,SO,25,10,0,,0,38,6,,,,53,48,52.5,36,36,50.0,22,18,55.0,70.7,100.0
2014,WPG,2013-10-18,H,St. Louis Blues,4,3,W,SO,29,6,0,,0,32,4,0,,0,58,56,50.9,41,40,50.6,22,27,44.9,61.3,100.8
2014,WPG,2013-10-20,H,Nashville Predators,1,3,L,,39,6,0,,0,26,6,0,,1,56,33,62.9,42,29,59.2,20,28,41.7,73.6,93.5
2018,WPG,2017-10-14,H,Carolina Hurricanes,2,1,W,,21,8,0,2,0,29,4,1,4,0,34,50,40.5,23,34,40.4,19,25,43.2,33.3,112.5
2018,WPG,2017-10-17,H,Columbus Blue Jackets,2,5,L,,26,6,0,1,1,39,2,0,3,0,48,58,45.3,31,41,43.1,33,18,64.7,54.1,89.5
2012,WPG,2011-11-05,A,New Jersey Devils,2,3,L,OT,23,9,0,,0,28,11,0,,0,32,28,53.3,27,25,51.9,31,14,68.9,48.6,95.9
2012,WPG,2011-11-06,A,New York Rangers,0,3,L,,23,12,0,,0,27,8,1,,0,32,32,50.0,26,23,53.1,18,29,38.3,56.5,88.2
2017,WPG,2016-10-27,H,Dallas Stars,4,1,W,,36,12,2,7,0,39,14,1,6,0,32,42,43.2,26,32,44.8,20,21,48.8,59.8,109.5
2017,WPG,2016-10-28,A,Colorado Avalanche,1,0,W,,21,8,0,3,0,37,6,,4,,34,53,39.1,19,45,29.7,14,25,35.9,26.9,106.3
2013,WPG,2013-02-05,H,Florida Panthers,3,2,W,OT,21,4,1,,0,19,8,0,,0,49,34,59.0,31,25,55.4,25,14,64.1,35.0,99.5
2019,WPG,2018-10-16,H,Edmonton Oilers,4,5,L,OT,33,4,1,3,0,35,6,2,2,0,44,58,43.1,31,46,40.3,20,29,40.8,45.2,102.3
2019,WPG,2018-10-18,H,Vancouver Canucks,4,1,W,,32,26,2,2,0,27,26,0,2,0,53,46,53.5,41,32,56.2,34,26,56.7,56.9,102.9
2016,WPG,2015-10-27,H,Los Angeles Kings,1,4,L,,25,2,0,1,0,32,2,0,1,0,44,58,43.1,30,42,41.7,22,23,48.9,53.3,91.9
2015,WPG,2014-11-02,A,Chicago Blackhawks,1,0,W,,27,4,0,,0,33,4,,,,38,70,35.2,29,42,40.8,21,28,42.9,29.4,104.2
2014,WPG,2013-10-22,H,Washington Capitals,4,5,L,SO,47,17,0,,1,32,13,1,,0,61,41,59.8,49,34,59.0,37,29,56.1,49.8,95.6
2018,WPG,2017-10-20,H,Minnesota Wild,4,3,W,,30,2,2,3,0,27,6,1,1,0,42,40,51.2,34,30,53.1,26,26,50.0,40.6,99.4
2018,WPG,2017-10-26,A,Pittsburgh Penguins,1,2,L,OT,31,10,0,2,0,36,6,0,4,0,48,53,47.5,36,37,49.3,22,29,43.1,47.5,95.9
2012,WPG,2011-11-08,A,Buffalo Sabres,5,6,L,OT,31,39,1,,0,45,15,4,,1,34,54,38.6,27,42,39.1,15,34,30.6,51.9,112.8
2012,WPG,2011-11-10,H,Florida Panthers,2,5,L,,27,10,1,,0,20,6,2,,0,42,34,55.3,31,28,52.5,26,21,55.3,53.8,85.0
2017,WPG,2016-10-30,H,Buffalo Sabres,1,3,L,,38,6,0,6,0,28,16,0,1,0,45,44,50.6,33,32,50.8,23,26,46.9,64.1,91.1
2013,WPG,2013-02-07,H,Toronto Maple Leafs,2,3,L,,25,13,0,,1,18,13,1,,1,44,33,57.1,33,17,66.0,20,30,40.0,52.9,96.9
2013,WPG,2013-02-09,A,Ottawa Senators,1,0,W,,37,6,0,,0,33,2,,,,50,72,41.0,43,51,45.7,28,20,58.3,52.8,103.0
2019,WPG,2018-10-20,H,Arizona Coyotes,5,3,W,,32,10,1,3,0,45,8,0,4,0,38,54,41.3,27,41,39.7,31,26,54.4,48.0,110.7
2019,WPG,2018-10-22,H,St. Louis Blues,5,4,W,OT,36,21,1,5,0,34,12,1,4,0,53,36,59.6,42,30,58.3,21,27,43.8,72.5,100.7
2016,WPG,2015-10-29,H,Chicago Blackhawks,3,1,W,,31,6,1,3,0,46,6,1,3,0,42,58,42.0,34,42,44.7,35,27,56.5,37.1,107.7
2015,WPG,2014-11-04,H,Nashville Predators,3,1,W,,26,12,2,,0,24,12,0,,0,40,49,44.9,28,33,45.9,28,30,48.3,36.9,100.7
2015,WPG,2014-11-06,H,Pittsburgh Penguins,3,4,L,SO,37,45,0,,0,35,55,0,,0,48,52,48.0,36,38,48.6,22,20,52.4,53.7,99.5
2014,WPG,2013-10-24,A,Nashville Predators,2,3,L,OT,36,4,0,,0,33,8,1,,0,55,46,54.5,40,36,52.6,16,35,31.4,44.2,99.1
2014,WPG,2013-10-26,A,Dallas Stars,2,1,W,SO,38,6,0,,0,36,4,0,,0,61,59,50.8,49,46,51.6,22,31,41.5,53.7,100.0
2018,WPG,2017-10-27,A,Columbus Blue Jackets,1,2,L,OT,30,8,0,6,0,37,10,0,4,0,43,54,44.3,35,42,45.5,28,15,65.1,61.4,96.7
2018,WPG,2017-10-29,H,Pittsburgh Penguins,7,1,W,,24,22,1,3,0,32,22,1,3,0,41,44,48.2,31,37,45.6,27,22,55.1,51.7,130.0
2012,WPG,2011-11-12,A,Columbus Blue Jackets,1,2,L,,36,13,0,,1,27,15,0,,0,48,42,53.3,37,31,54.4,19,27,41.3,55.4,90.5
2012,WPG,2011-11-14,H,Tampa Bay Lightning,5,2,W,,39,14,1,,0,32,6,0,,0,49,38,56.3,46,31,59.7,28,20,58.3,54.8,101.6
2017,WPG,2016-11-01,H,Washington Capitals,2,3,L,,45,8,0,4,0,27,8,0,3,0,51,40,56.0,46,29,61.3,24,32,42.9,49.0,93.1
2017,WPG,2016-11-03,A,Washington Capitals,3,4,L,OT,27,10,0,2,1,32,6,1,5,0,47,44,51.6,37,31,54.4,21,22,48.8,27.3,95.7
2013,WPG,2013-02-12,H,Philadelphia Flyers,2,3,L,,26,23,0,,0,23,11,1,,0,47,34,58.0,35,22,61.4,28,20,58.3,61.3,98.0
2013,WPG,2013-02-15,H,Pittsburgh Penguins,1,3,L,,26,16,0,,0,28,14,1,,0,53,53,50.0,41,40,50.6,23,26,46.9,51.7,96.0
2019,WPG,2018-10-24,H,Toronto Maple Leafs,2,4,L,,40,2,1,3,0,39,6,0,1,0,68,60,53.1,54,45,54.5,30,27,52.6,56.8,91.1
2016,WPG,2015-10-31,A,Columbus Blue Jackets,3,2,W,,27,15,1,3,0,21,11,0,5,0,42,35,54.5,30,24,55.6,28,22,56.0,62.2,96.9
2016,WPG,2015-11-01,A,Montreal Canadiens,1,5,L,,19,14,0,3,0,26,8,1,5,1,39,39,50.0,25,25,50.0,22,26,45.8,44.3,90.5
2015,WPG,2014-11-08,A,Ottawa Senators,2,1,W,SO,37,11,1,,0,38,11,1,,0,54,63,46.2,39,45,46.4,28,33,45.9,52.8,100.0
2015,WPG,2014-11-11,A,Montreal Canadiens,0,3,L,,29,8,0,,0,27,6,0,,1,54,35,60.7,38,27,58.5,26,30,46.4,64.7,90.5
2014,WPG,2013-10-27,A,Colorado Avalanche,2,3,L,,25,4,0,,0,36,12,0,,0,46,62,42.6,33,46,41.8,16,23,41.0,40.9,100.7
2014,WPG,2013-10-29,A,St. Louis Blues,2,3,L,,23,12,1,,1,33,10,1,,0,30,44,40.5,24,34,41.4,17,23,42.5,34.8,92.0
2018,WPG,2017-10-31,A,Minnesota Wild,2,1,W,,19,12,0,3,0,29,8,0,5,0,27,57,32.1,18,38,32.1,19,16,54.3,29.1,110.6
2012,WPG,2011-11-17,H,Washington Capitals,4,1,W,,31,15,2,,0,32,15,0,,0,33,45,42.3,30,36,45.5,19,24,44.2,49.7,104.5
2012,WPG,2011-11-19,H,Philadelphia Flyers,6,4,W,,40,18,3,,1,31,26,2,,0,31,35,47.0,25,28,47.2,28,13,68.3,50.4,100.8
2017,WPG,2016-11-04,A,Detroit Red Wings,5,3,W,,31,6,0,0,0,33,2,0,3,0,49,40,55.1,40,31,56.3,24,31,43.6,45.9,105.0
2013,WPG,2013-02-17,H,Boston Bruins,2,3,L,,24,2,0,,0,26,4,1,,0,65,60,52.0,46,41,52.9,24,22,52.2,42.9,100.7
2019,WPG,2018-10-26,A,Detroit Red Wings,2,1,W,,40,6,1,5,0,28,10,1,3,0,48,46,51.1,35,34,50.7,24,17,58.5,51.7,103.3
2016,WPG,2015-11-04,A,Toronto Maple Leafs,4,2,W,,34,6,0,2,1,26,2,1,3,0,59,52,53.2,47,37,56.0,26,33,44.1,58.3,106.5
2015,WPG,2014-11-13,A,Carolina Hurricanes,3,1,W,,37,6,0,,0,23,4,1,,0,61,57,51.7,48,41,53.9,26,20,56.5,53.1,109.4
2014,WPG,2013-11-02,H,Chicago Blackhawks,1,5,L,,27,4,0,,0,25,2,0,,0,55,48,53.4,39,31,55.7,31,29,51.7,41.2,83.0
2018,WPG,2017-11-02,H,Dallas Stars,5,2,W,,27,12,2,3,0,23,18,0,0,0,46,47,49.5,35,33,51.5,33,33,50.0,61.4,102.5
2012,WPG,2011-11-19,H,Philadelphia Flyers,6,4,W,,40,18,3,,1,31,26,2,,0,31,35,47.0,25,28,47.2,28,13,68.3,50.4,100.8
2012,WPG,2011-11-23,A,Washington Capitals,3,4,L,OT,25,8,0,,0,37,6,0,,0,41,58,41.4,28,45,38.4,22,25,46.8,48.1,101.8
2017,WPG,2016-11-06,A,New York Rangers,2,5,L,,26,0,0,2,0,18,4,0,0,0,50,36,58.1,32,26,55.2,22,27,44.9,55.2,81.7
2013,WPG,2013-02-19,A,Buffalo Sabres,2,1,W,,28,8,0,,0,30,4,0,,0,51,51,50.0,37,33,52.9,23,22,51.1,46.9,103.7
2019,WPG,2018-10-27,A,Toronto Maple Leafs,2,3,L,,24,8,1,2,0,31,6,0,3,0,42,55,43.3,35,43,44.9,27,24,52.9,41.4,94.3
2016,WPG,2015-11-05,A,Ottawa Senators,2,3,L,SO,40,6,0,2,0,31,4,0,3,0,70,51,57.9,55,35,61.1,25,37,40.3,60.6,97.6
2015,WPG,2014-11-15,A,Nashville Predators,1,2,L,,22,8,0,,1,29,0,0,,0,47,45,51.1,32,37,46.4,19,39,32.8,54.5,93.1
2014,WPG,2013-11-04,H,Detroit Red Wings,4,2,W,,47,11,0,,0,28,15,0,,1,56,36,60.9,41,26,61.2,26,19,57.8,67.1,105.3
