year,team,date_game,game_location,opp_name,goals,opp_goals,game_outcome,overtimes,shots,pen_min,goals_pp,chances_pp,goals_sh,shots_against,pen_min_opp,goals_against_pp,opp_chances_pp,goals_against_sh,corsi_for,corsi_against,corsi_pct,fenwick_for,fenwick_against,fenwick_pct,faceoff_wins,faceoff_losses,faceoff_percentage,zs_offense_pct,pdo
1975,WSH,1974-10-09,A,New York Rangers,3,6,L,,12,16,1,,0,43,12,2,,0,,,,,,,,,,,
1975,WSH,1974-10-12,A,Minnesota North Stars,0,6,L,,30,8,0,,0,31,16,2,,0,,,,,,,,,,,
1975,WSH,1974-10-15,H,Los Angeles Kings,1,1,T,,20,16,0,,0,34,16,0,,0,,,,,,,,,,,
1976,WSH,1975-10-07,H,Pittsburgh Penguins,2,4,L,,28,12,0,,0,23,12,2,,0,,,,,,,,,,,
1977,WSH,1976-10-05,H,Atlanta Flames,6,5,W,,22,7,1,,0,35,13,0,,1,,,,,,,,,,,
1975,WSH,1974-10-17,H,Chicago Black Hawks,4,3,W,,25,15,1,,0,36,17,2,,0,,,,,,,,,,,
1975,WSH,1974-10-19,A,Detroit Red Wings,4,6,L,,25,12,0,,0,32,6,2,,0,,,,,,,,,,,
1976,WSH,1975-10-09,A,Philadelphia Flyers,4,5,L,,28,12,2,,0,50,18,1,,1,,,,,,,,,,,
1978,WSH,1977-10-14,H,Pittsburgh Penguins,2,1,W,,23,14,0,,0,24,12,0,,0,,,,,,,,,,,
1977,WSH,1976-10-07,A,Detroit Red Wings,3,3,T,,26,20,1,,0,30,26,0,,1,,,,,,,,,,,
1977,WSH,1976-10-09,A,Cleveland Barons,3,6,L,,23,12,0,,0,37,12,2,,0,,,,,,,,,,,
1975,WSH,1974-10-20,H,New York Islanders,0,5,L,,26,6,0,,0,28,8,0,,0,,,,,,,,,,,
1975,WSH,1974-10-22,H,Detroit Red Wings,0,3,L,,25,18,0,,0,35,15,1,,0,,,,,,,,,,,
1979,WSH,1978-10-11,A,Los Angeles Kings,4,2,W,,29,23,1,,0,31,13,1,,0,,,,,,,,,,,
1976,WSH,1975-10-11,A,Pittsburgh Penguins,5,7,L,,29,19,4,,0,40,27,1,,0,,,,,,,,,,,
1976,WSH,1975-10-14,A,Vancouver Canucks,2,7,L,,22,19,2,,0,46,26,2,,0,,,,,,,,,,,
1978,WSH,1977-10-15,A,Cleveland Barons,2,4,L,,32,6,1,,0,34,8,0,,1,,,,,,,,,,,
